,2022-11-23
16,@PhinsFan1399 @TheInsiderPaper Follow the money https://t.co/PxBj0YHJ2g
17,@HelenRo41328161 @Effiedeans Aye right. And if we were independent the English gov wouldn't be getting the £80bil from the oil and gas industry  over the next 2 years that's helping them out of their black hole.
18,@MichaelKantro Back breaking for some… the few brave enough to load oil/gas in #COM seem to have done quite alright. Happy thanksgiving!
19,"Firstpost, Nov. 23. Recommended.

#Russia Could Shut Down All Europe's Nuclear #Power Plants.
Europe’s energy crisis caused #Shortage of gas, oil, coal.
Another fuel which #Europe depends on Russia for is
#URANIUM, #Nuclear #Fuel: 🥴 😱 🥶 🕯️

https://t.co/EpYcJ5wrqW via @YouTube"
20,$AMLP - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%. https://t.co/GJTzzOL52K #economy #stocks #trading
21,"@HRH_HENRAY Ahhh Crypto, oil and Gas only you? It's like it's you that'll fund the party if PDP lose"
22,@SenTedCruz But we are in better shape than when Trump left office he has tried to stop inflation but you and other Republicans have stop everything that would have helped. Big oil have paid you and others to keep gas high causing inflation.
23,@WhiteHouse And we are trillions in debt heading to recession gas still expensive heating oil I mean food inflation. You can polish a shit but it’s still shit
24,"A great initiative and at the right time which will go a long way in successful execution of numerous offshore oil and gas projects that are in the Pipeline and fulfill the ""make in India"" goals. 
@makeinindia 
@ONGC_ 
@Pankaj3006k 
@HardeepSPuri 
@PetroleumMin https://t.co/3xrYAq4LMl"
25,"@SensibleSteve2 @PeterDClack @News_Magpie Nope, nonsensical Steve

I think you'll find there are more people making much more money from oil and gas. The consequences if which are only too well known."
26,It’s rich that right wingers that love oil and gas are deepthroating El*n
27,"@GOP I’m sure all your investigations, impeachments and congressional hearings will make gas, heating oil, milk, rent, and inflation LESS EXPENSIVE. OR NOT"
28,@elNasrino 😂😂😂 not at all I don’t even want to be I am an oil and gas person I earn a decent living for myself . I do marine logistics and equipment lease just incase.
29,"@RepStefanik Inflation? Money managers believe it is:
1) Demand exceeding supply-35%
2) Geopolitical disruption-41%
3) COVID impact/disruptions-24%

Gas prices are determined by WW oil prices &amp; taxes. Norway pumps 3X what it consumes &amp; gas is $10/gal

Rep. Stefanik spreads MAGA GOP lies"
30,"These are increases on already increased costs.  Putting a hurt on people in the north east with winter here.

Dec 1 - sale from US reserves
Dec 4 - OPEC Meeting 
Dec - EU price cap / sanctions Russian oil 

Could be a bumpy week ahead for oil and gas. https://t.co/MsDmRFsKHm"
31,"@haliwell51 @gwendoline_dirk NDP = New Debt Party or New Depression Party. Also anti oil &amp; gas thus anti-prosperity. Where are all the eTrucks eTractors eCombines &amp; eShips that power the daily food chains for billions reliably, safely and inexpensively?"
32,@marytswisc Gas and oil companies are. When the price of gas and diesel go up everything else goes up. Everything!
33,"It's time to let the Ukrainian intelligence and their special operations personnel put some Russian towns and cities in the cold darkness.  
They should even strike Russian oil and gas refineries plants, including LNG terminals. 
Let everyone feel the pain of the  cold weather."
34,"Why aren't you doing ANYTHING ab methane emissions in #Texas ? There've been dozens of complaints &amp; essentially NOTHING has improved in yrs. I think you're paid off by oil &amp; gas co's so you ""don't find"" leaks. Tell your grandchildren that when they can't breathe on this planet."
35,"We buy all types of construction equipment; gas, oil, and #miningequipment
So, if you are thinking of selling your used equipment running or non-running, look no further. Visit https://t.co/mXHMp9i3rt or call 214-773-0207.
#whobuysheavyequipment #webuyusedconstructionequipment https://t.co/tDTXfiDq9S"
36,"https://t.co/dnWd7ZleQk https://t.co/6AYPmrwyf8 
The prospect document of Iran's cooperation with the People's Republic of China in the next twenty years, in the fields of industry, oil and gas, automotive, electronics, petrochemicals, materials, transfer of nuclear... 

🇨🇳🇨🇳🇮🇷🇮🇷 https://t.co/igrtkSzdjr"
37,@GBNEWS Who are they terrorising exactly? They are wasting their time and everyone else's as we're burning more oil and gas year on year. Its futile to even try to stop humanity ruining this planet. Its what we do.
38,"@LeoVaradkar By war in Ukraine they mean the sanctioning of commodity super power Russia, two separate events, a choice, this is the reason for the UK's &amp; EU's spiral, both now import Russian oil &amp; gas via Turkey &amp; Azerbaijan, but will now cost more."
39,Every Single Republican voted For Oil Companies Gas Gouging. They ran on crime and inflation and will spend the next 2 years on actual witch hunts. Suckas https://t.co/3AT77njtNW
40,@lellen61 @RepMalliotakis @POTUS https://t.co/eQv0EBz84M  It's not that hard to look things up.
41,"The monetary turnover of the global fashion industry is comparable to the turnover of the oil and gas industry.

Cheñol not just an inscription on a T-shirt.

His eyes can look like pieces of ice, and yet warm me to the core. Just love.

💖Ashley 💖Eve 💖Zara 💖Emma. https://t.co/wqkJLt2b2v"
42,"""the best way to control methane is never to drill that hole for oil and gas, in the first place"" environmental activist Sharon Wilson with @Earthworks, tells @milesobrien @NewsHour tonight"
43,@AntonVonClouse https://t.co/vRneLQxQul
44,"@stillgray She's lost her job for a reason...she sucked at it!
Now go interview some of the gas and oil people that lost their jobs for no reason...fake climate change."
45,"@SoniaFurstenau @NicholasSimons @AdamPOlsen ➡️ Learn from Alberta and @ABDanielleSmith !! 

➡️ Promote small gov, entrepreneurship, investments AND oil &amp; gas exploration and exports. 

➡️ In socialist &amp; big union loving, big gov BC the money is just not there. 

➡️ Think top line revenue. 

➡️ Spending then is easy !!"
46,@cmcalgary Same way they decreased the global price of oil and gas. But when it increased? That wasn’t them. That was the genius of Jason Kenney and the amazing fiscal management of the UCP.
47,"@iCrushGoals I sell cards on Twitter, but for my side hustle I'm a corrosion and materials specialist in the oil and gas industry."
48,"Coterra’s corporate predecessor, Cabot Oil &amp; Gas Corp., was charged with drilling faulty gas wells that leaked flammable methane into residential water supplies in Dimock, in Susquehanna County, and surrounding communities. https://t.co/mxQE3gPJ9y"
49,https://t.co/rjuqw9w6qm
50,"@g_hibby I knew it wasn't going to go our way, but was still raging when it came out, 1st thing to do now in my book is take them to court so all our resources are paid to Hollyrood, oil gas wind wave the lot, we will pass on a proportionate amount to WM, we've to stay, lets b comfy fkem"
51,"(4 of 4)
Real Estate: -0.12%; 2 of 5 Up
Oil&amp;Gas: -1.69%; 9 of 80 Up (&gt;=4%: $FLNG)"
52,i said it on the first day i will say it agian #ZELENSKY #PUTIN #RUSSIA #OIL #GAS #COAL #POLAND #EUROPE #GOLD #SILVER #UN #UKRAINE ITS TIME FOR #EUROPE AND #AMERICA TO BIT THE BULLET - OH AND THE REST OF THE WORLD INCLUDING #CHINA 0 OR WE CUT THEM OFF - STOP PUTIN NOW ! https://t.co/zh8Pzt97MP
53,"""there's just way too much methane going into our atmosphere"" environmental activist Sharon Wilson tells @MilesOBrien as evidence grows that despite oil &amp; gas industry reports on emissions..""methane is coming up everywhere"" as she inspects oil production site in Texas @NewsHour"
54,"Stocks I watch up at least 4% on &gt;=1.5xAvgVol for the day:
$MANU: 27.3xAV; +25.8% (Leisure)
$QURE: 5.2xAV; +14.6% (Bio/Pharm)
$MRTX: 3xAV; +11.3% (Bio/Pharm)
$SCPH: 2.5xAV; +7.3% (Bio/Pharm)
$FLNG: 2xAV; +6.7% (Oil&amp;Gas)
(1 of 2)"
55,@steven_schnegg @DeathMetalV @WHCOS Are you aware of the billions of dollars Chevron and other oil/gas producers are making….all due to their greed. This isn’t a President Biden issue….it’s the greedy companies.
56,"@Tim_Bousquet How do u figure that out.  You do realize that its not just gas, propane, oil and electricity.  It's on the fertilizer that farmers use to grow their crops so they charge more.  The trucks that deliver goods so they charge more.  Also carbon tax has GST applied to it."
57,"@GOP The only way the GOP could possibly sound any more idiotic is if they blamed the fact you bit your tongue on Obama. 

Everything they say is fiction. Prices are up b/c companies are gouging and artificially inflating. It started with Oil/gas and rolled down hill."
58,Martinez is also one of seven plaintiffs in the Martinez v. Colorado Oil and Gas Conservation Commission case; that case is a state-level lawsuit similar to Juliana v. United States.
59,@sharozwa Il@n’y a rien a y voir ou a faire… sauf si on eat descendant de homesteaders… et qu’on peut louer sa parcelle pour extraction d’hydrocarbures. Comme disais la blague “The meek will inherit the earth but they won’t get the mineral rights” https://t.co/fGdI8gP12g
60,"@Eric_Schmitt give me a break. Why don’t you do some real work - talk to the Oil and Gas Companies on why they are keeping gas prices high, when they clearly don’t need to?"
61,"@bookemdeb We already do. We have a surplus. So much, we are sending gas to Europe to help those people survive moving away from Putin's control. 

Plus, we have a lot drilling sites already approved that the oil companies are not using because we don't need them."
62,@TheNavigator73 @mhhooper01 @NoLieWithBTC How about every oil and gas company?  They accounted for roughly 30k of the 8 million loans that were given out. Yet they saw and continue to see record profits.
63,@TpyxaNews Yes german has absolute wish that their own sake: money gas oil .. poor germans sitting ln GOLD HEAP
64,@CPC_HQ So oil and gas profits have nothing to do with these cost just the carbon tax which has a rebate with it.
65,"@RoonieTweet @ThamerAlmutai20 @tim_eke @acm_ow @yaboi_kryp2o @Hakan_matata @brfootball Seems like the biggest cope I’ve ever seen, europe didn’t cause the Arab spring revolt among other wars and conflicts. So that’s incorrect. Secondly Norway is very relevant now with the current gas and oil situation in Europe. Actually one of the most relevant in the world."
66,"@deonemba1 @ewarren I wonder why the oil companies waited for a Democrat President to become greedy? Apparently they weren't greedy under Trump when
 gas was $2 a gallon. Why's that? 
Here's why https://t.co/3EFDVepK5l"
67,@ThatAFluke @BertiefulSouth @cmwinterburn @MilanLdn10 Loool. That’s absolute nonsense. Most of their exports are oil and natural resources. 30% of its GDP is directly based on the oil and gas industry. Tourism and finance sector is growing but they are fundamentally an oil country https://t.co/eqvswwioUi
68,@tcastro72 @abigailmarone @WHCOS @POTUS Record job growth low energy prices peace treaty in the Middle East Russia not at war with Ukraine North Korea not testing ballistic middles Iran not killing women energy independence net exporter of oil and natural gas I could go on!!!!
69,"#CombustiblesLimpios 

The clean hydrogen opportunity for hydrocarbon-rich countries https://t.co/pZAmMaEUPS a través de @McKinsey"
70,Oil prices plummeted to 10-month lows Monday morning after stark warnings from Chinese officials shed light on the nation's increasingly worrisome Covid outbreak. https://t.co/lrK0PcpP11 https://t.co/OxR1zNWPO5
71,Federal Reserve officials at their last meeting saw “very few signs that inflation pressures were abating” before raising their benchmark interest rate by a substantial three-quarters of a point for a fourth straight time. https://t.co/0l80rJFVRP
72,"😡😠
#Dégage_Akhannouch
#مانشريش_ليمامحتاجوش
#لا_لغلاء_الأسعار_في_المغرب
#الشارع_حل
#لاسامير_هي_الحل
#أين_الشعب
#أين_الملك
سقف النفط الروسي ""العالي"" يهوي بخامي برنت و""الأميركي"" https://t.co/kH47tVKfVD"
73,@POTUS so another mass shooting. It is NOT the gun. It is society. You have made things soooo much worse. Let’s start using US oil n gas to bring down prices. Nuclear is green. Let’s go there too
74,"I think the FED will try to tighten to drop commodity prices, but end up causing a housing collapse because prices of oil &amp; gas &amp; lumber &amp; labor are less sensitive to interest rates than Housing (avg mortgage is 30 years.. long duration...)"
75,"@HailViktore @BBCNews Exactly what is happening in the world..in Ukraine..through this one-polar western world..with nazis in Ukraine being used like ISIS in Syria..now Kurds too..all for domination of energy..all for oil &amp; gas in Syria, Donbass, Siberia, Arctic Circle..now rare earths for batteries.. https://t.co/PEl6l4SLDT"
76,"@POTUS Because of your shitty Administration’s economic plan, gas is over $3, food is overpriced, interest rates are at an all time high, oil reserves are low, homelessness is everywhere and you and your scum bag son are slaves to China! Fuck you @POTUS"
77,"@dolaricemos x lo q interpreto, lo presentando ante la CNV lo q hace es Vista Oil &amp; Gas Argentina S.A.U.  le gira a la controlante arafue dentro de lo permitido x el decreto 277/22. Ahí la controlante decidirá q hace con esos USD...si los reparte como div. al ser CEDEAR se cobrarian en USD"
78,@YashArya @0zgurlukcu @AlexEpstein I didn’t call you any names so unsure on the insult you speak of. I’ve watched 2 of the 3 before.  First people need to understand the question of why would oil&amp;gas start and own the renewable sector?  Pretty standard vertical integration strategy and makes perfect sense no?
79,"@EUCouncil Orban wants Russian gas, Russian oil, he is blocking renewables in Hungary. He wants to support Putins war. Stop him! https://t.co/nq7PNkHnsE"
80,"FED tightening primarily effects long duration industries with high multiples like tech and leisure / housing, much less so in traditional boring industries like agriculture, oil &amp; gas, energy, and materials."
81,"@miikrowaveweapo tw big oil and gas corporations //

*video of a car on fire*"
82,Funny how this happens. Oil has way too much sway over elections. How many Democrats lost because of artificially raised gas prices? https://t.co/yretCFXV6b
83,"@PressSec All of these are just the ending of pandemic lockdowns an passing laws after reversing Trump's executive orders, an Gas price were higher because joe slowed domestic oil production with his climate change ex order. An by his mouth he is unable to affect gas prices"
84,"@NancyFaeser One last word:
Why don't your government stop and boycott oil and natural gas imports from those Arab and Muslims countries? President Putin will welcome you in Russia, try to meet him with the same arm band..."
85,"But, but ... US Arms sales are up... 

We can't let a little thing like planetary nuclear winter... get in the way of profits...

Besides Big Oil &amp; Gas... and a pandemic of global corruption... will likely finish us off. https://t.co/PT94F6vE5r"
86,@Lambeau_28 @FINALLEVEL The gas companies love this.  They are fully aware about the US's addiction to oil.  They will line their pockets by simply pushing prices up to feed the addiction.  Just like the tobacco companies have done.
87,"It's a good thing that $PLTR is helping oil and gas companies because we hit an oil top, those companies are going to need to save money. https://t.co/PFNiCIMLex"
88,"@ruth_wishart @BirseJan Maybe when the oil, gas, whisky, salmon, waves, wind, tides and drinking water run out ...."
89,"@wilhelm_2025 @Reuters They have coal, oil and gas reserves, they chose to not to dig or drill for it instead choosing to pander to the green energy nuts instead."
90,"But, but ... US Arms sales are up... 

We can't let a little thing like planetary nuclear winter... get in the way of profits...

Besides Big Oil &amp; Gas... and a pandemic of global corruption... will likely finish us off. https://t.co/mo0vGbVo4I"
91,"@ArchDejan @Gerashchenko_en John McCain said it best ""Russia is a giant gas station masquerading as a Country."" What does Russia make that the world wants? Besides oil and gas. And vodka, well you can get it in Texas Homegrown."
92,"@POTUS Best days for families americans, stop speculation prices drug prescription and gas and oil"
93,"@CarbonCredits My oil &amp; gas producer stocks have done way better then that, my coal stocks up 600%. Go carbon go"
94,@garethlkr @AlexEpstein @JunkScience @ceidotorg The guy is a hack oil and gas shill nothing else....
95,"@petrelnl @CBCNL Correct. First of all it won’t happen till next July, if it happens at all. A lot can change between then and now. Secondly, who knows what the price of gas, diesel, groceries, electricity, heating oil, etc will be then."
96,"@BjCruickshank Signed and donated Bill. England forces its rule on Scotland and steals all that belongs to us. Today, England declared war on Scotland. We need to stop pandering to their imperialism. No more oil, gas &amp; whisky revenue going south. We must stop that first!"
97,@Sands731 Gas and oil are partly the income for the Kurds in Syria
98,"@PeterDClack ""The world is deluded if anyone thinks renewables are cheaper than coal, gas or oil.""
'Externalities' only apply to fossil fuels."
99,@bayraktar_1love Of Russia is a terrorist state then no EU country should finance their terror by buying the oil and gas from them .
100,"@POTUS Under you America has turned to shit 4 dollar gas , 20% increase in grocery prices, home heating oil up 70% ,2.5 million illegals entering our country yea America is doing fine"
101,@HouseGOP Look at all those oil prices that were higher than today's prices. Makes you wonder why gas prices are so high doesn't it? https://t.co/L4B804dsYy
102,"Sign the petition: We cannot afford any new coal, oil, or gas projects. Urge Congress to reject fossil fuel handouts. https://t.co/t73xX4p3vz"
103,¡Oil &amp; Gas Reporter está disponible! https://t.co/XUwLvyaaaA Gracias a @WorldOil #oilandgas #upstream
104,"@darrell_arts @POTUS 9.1% record inflation.

$7 a gallon gas

Heating oil rationing 

Diesel fuel shortages 

Food &amp; baby formula shortages

Our allies are being invaded

$85,000,000,000 in military equipment given to terrorists 

1000’s of Americans stranded in Afghanistan 

Looming nuclear war"
105,"@ViralVixen_ @JPerryFarm @laurenboebert directed federal agencies to eliminate all supports for fossil fuels, imposed new regulations on oil, gas &amp; methane emissions all in the first few days of taking office &amp; because of that we hit an all time high inflation. Biden and his administration are a cancer to this country"
106,"@GOP Lot's of things are more expensive since voter-dumped Donald Trump did a deal with the Saudi's and OPEC to slash oil production, leading to skyrocketing gasoline prices.

Gas is 50% of inflation!

Thanks for nothing, #Trump and #Republicans!
https://t.co/0Wkb9l6JSs"
107,"The insurance industry that has been insuring coal, oil and gas projects for the last 40 years well aware of the results of their emissions. 

Now ordinary people pay the price. 
https://t.co/ObvCM7FwsD"
108,@WHCOS @POTUS Top accomplishment open borders crime drugs high gas prices high home heating oil inflation CRT in schools last but not least the railroad strike Great Job.
109,"@AshraeChapter @AshraeChile @ashraenews @ASHRAE_RAL Hello everyone,
Please visit https://t.co/qnagBsCJtd to check out many useful courses to up skill yourself.
Many potential job opening are also available.
Thank you
#MEP #HVAC #Electrical #Mechanical #EPC #Oil&amp;Gas"
110,$AMLP - https://t.co/zsBJQc9O1n - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%
111,$XLE - https://t.co/Am8UEyBmj2 - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%
112,"@ViralVixen_ @JPerryFarm @laurenboebert Because I remember Biden re-entering the Paris climate accord, cancelling keystone pipeline, halting leaseing program in anwar, issued a 60 day halt on all new oil &amp; gas leases &amp; drilling permits on federal lands + waters nationwide which makes up 25% of US oil production..."
113,$XOP $XLE $AMLP NEW ARTICLE : AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7% https://t.co/ywmqVZAvEo Get all the latest $XOP related news here : https://t.co/7zAzjxA1QN
114,@SamRamani2 I bet their ass still buys oil and natural gas from them .
115,@PhinsFan1399 @TheInsiderPaper Follow the money https://t.co/PxBj0YHJ2g
116,@HelenRo41328161 @Effiedeans Aye right. And if we were independent the English gov wouldn't be getting the £80bil from the oil and gas industry  over the next 2 years that's helping them out of their black hole.
117,@MichaelKantro Back breaking for some… the few brave enough to load oil/gas in #COM seem to have done quite alright. Happy thanksgiving!
118,"Firstpost, Nov. 23. Recommended.

#Russia Could Shut Down All Europe's Nuclear #Power Plants.
Europe’s energy crisis caused #Shortage of gas, oil, coal.
Another fuel which #Europe depends on Russia for is
#URANIUM, #Nuclear #Fuel: 🥴 😱 🥶 🕯️

https://t.co/EpYcJ5wrqW via @YouTube"
119,$AMLP - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%. https://t.co/GJTzzOL52K #economy #stocks #trading
120,"@HRH_HENRAY Ahhh Crypto, oil and Gas only you? It's like it's you that'll fund the party if PDP lose"
121,@SenTedCruz But we are in better shape than when Trump left office he has tried to stop inflation but you and other Republicans have stop everything that would have helped. Big oil have paid you and others to keep gas high causing inflation.
122,@WhiteHouse And we are trillions in debt heading to recession gas still expensive heating oil I mean food inflation. You can polish a shit but it’s still shit
123,"A great initiative and at the right time which will go a long way in successful execution of numerous offshore oil and gas projects that are in the Pipeline and fulfill the ""make in India"" goals. 
@makeinindia 
@ONGC_ 
@Pankaj3006k 
@HardeepSPuri 
@PetroleumMin https://t.co/3xrYAq4LMl"
124,"@SensibleSteve2 @PeterDClack @News_Magpie Nope, nonsensical Steve

I think you'll find there are more people making much more money from oil and gas. The consequences if which are only too well known."
125,It’s rich that right wingers that love oil and gas are deepthroating El*n
126,"@GOP I’m sure all your investigations, impeachments and congressional hearings will make gas, heating oil, milk, rent, and inflation LESS EXPENSIVE. OR NOT"
127,@elNasrino 😂😂😂 not at all I don’t even want to be I am an oil and gas person I earn a decent living for myself . I do marine logistics and equipment lease just incase.
128,"@RepStefanik Inflation? Money managers believe it is:
1) Demand exceeding supply-35%
2) Geopolitical disruption-41%
3) COVID impact/disruptions-24%

Gas prices are determined by WW oil prices &amp; taxes. Norway pumps 3X what it consumes &amp; gas is $10/gal

Rep. Stefanik spreads MAGA GOP lies"
129,"These are increases on already increased costs.  Putting a hurt on people in the north east with winter here.

Dec 1 - sale from US reserves
Dec 4 - OPEC Meeting 
Dec - EU price cap / sanctions Russian oil 

Could be a bumpy week ahead for oil and gas. https://t.co/MsDmRFsKHm"
130,"@haliwell51 @gwendoline_dirk NDP = New Debt Party or New Depression Party. Also anti oil &amp; gas thus anti-prosperity. Where are all the eTrucks eTractors eCombines &amp; eShips that power the daily food chains for billions reliably, safely and inexpensively?"
131,@marytswisc Gas and oil companies are. When the price of gas and diesel go up everything else goes up. Everything!
132,"It's time to let the Ukrainian intelligence and their special operations personnel put some Russian towns and cities in the cold darkness.  
They should even strike Russian oil and gas refineries plants, including LNG terminals. 
Let everyone feel the pain of the  cold weather."
133,"Why aren't you doing ANYTHING ab methane emissions in #Texas ? There've been dozens of complaints &amp; essentially NOTHING has improved in yrs. I think you're paid off by oil &amp; gas co's so you ""don't find"" leaks. Tell your grandchildren that when they can't breathe on this planet."
134,"We buy all types of construction equipment; gas, oil, and #miningequipment
So, if you are thinking of selling your used equipment running or non-running, look no further. Visit https://t.co/mXHMp9i3rt or call 214-773-0207.
#whobuysheavyequipment #webuyusedconstructionequipment https://t.co/tDTXfiDq9S"
135,"https://t.co/dnWd7ZleQk https://t.co/6AYPmrwyf8 
The prospect document of Iran's cooperation with the People's Republic of China in the next twenty years, in the fields of industry, oil and gas, automotive, electronics, petrochemicals, materials, transfer of nuclear... 

🇨🇳🇨🇳🇮🇷🇮🇷 https://t.co/igrtkSzdjr"
136,@GBNEWS Who are they terrorising exactly? They are wasting their time and everyone else's as we're burning more oil and gas year on year. Its futile to even try to stop humanity ruining this planet. Its what we do.
137,"@LeoVaradkar By war in Ukraine they mean the sanctioning of commodity super power Russia, two separate events, a choice, this is the reason for the UK's &amp; EU's spiral, both now import Russian oil &amp; gas via Turkey &amp; Azerbaijan, but will now cost more."
138,Every Single Republican voted For Oil Companies Gas Gouging. They ran on crime and inflation and will spend the next 2 years on actual witch hunts. Suckas https://t.co/3AT77njtNW
139,@lellen61 @RepMalliotakis @POTUS https://t.co/eQv0EBz84M  It's not that hard to look things up.
140,"The monetary turnover of the global fashion industry is comparable to the turnover of the oil and gas industry.

Cheñol not just an inscription on a T-shirt.

His eyes can look like pieces of ice, and yet warm me to the core. Just love.

💖Ashley 💖Eve 💖Zara 💖Emma. https://t.co/wqkJLt2b2v"
141,"""the best way to control methane is never to drill that hole for oil and gas, in the first place"" environmental activist Sharon Wilson with @Earthworks, tells @milesobrien @NewsHour tonight"
142,@AntonVonClouse https://t.co/vRneLQxQul
143,"@stillgray She's lost her job for a reason...she sucked at it!
Now go interview some of the gas and oil people that lost their jobs for no reason...fake climate change."
144,"@SoniaFurstenau @NicholasSimons @AdamPOlsen ➡️ Learn from Alberta and @ABDanielleSmith !! 

➡️ Promote small gov, entrepreneurship, investments AND oil &amp; gas exploration and exports. 

➡️ In socialist &amp; big union loving, big gov BC the money is just not there. 

➡️ Think top line revenue. 

➡️ Spending then is easy !!"
145,@cmcalgary Same way they decreased the global price of oil and gas. But when it increased? That wasn’t them. That was the genius of Jason Kenney and the amazing fiscal management of the UCP.
146,"@iCrushGoals I sell cards on Twitter, but for my side hustle I'm a corrosion and materials specialist in the oil and gas industry."
147,"Coterra’s corporate predecessor, Cabot Oil &amp; Gas Corp., was charged with drilling faulty gas wells that leaked flammable methane into residential water supplies in Dimock, in Susquehanna County, and surrounding communities. https://t.co/mxQE3gPJ9y"
148,https://t.co/rjuqw9w6qm
149,"@g_hibby I knew it wasn't going to go our way, but was still raging when it came out, 1st thing to do now in my book is take them to court so all our resources are paid to Hollyrood, oil gas wind wave the lot, we will pass on a proportionate amount to WM, we've to stay, lets b comfy fkem"
150,"(4 of 4)
Real Estate: -0.12%; 2 of 5 Up
Oil&amp;Gas: -1.69%; 9 of 80 Up (&gt;=4%: $FLNG)"
151,i said it on the first day i will say it agian #ZELENSKY #PUTIN #RUSSIA #OIL #GAS #COAL #POLAND #EUROPE #GOLD #SILVER #UN #UKRAINE ITS TIME FOR #EUROPE AND #AMERICA TO BIT THE BULLET - OH AND THE REST OF THE WORLD INCLUDING #CHINA 0 OR WE CUT THEM OFF - STOP PUTIN NOW ! https://t.co/zh8Pzt97MP
152,"""there's just way too much methane going into our atmosphere"" environmental activist Sharon Wilson tells @MilesOBrien as evidence grows that despite oil &amp; gas industry reports on emissions..""methane is coming up everywhere"" as she inspects oil production site in Texas @NewsHour"
153,"Stocks I watch up at least 4% on &gt;=1.5xAvgVol for the day:
$MANU: 27.3xAV; +25.8% (Leisure)
$QURE: 5.2xAV; +14.6% (Bio/Pharm)
$MRTX: 3xAV; +11.3% (Bio/Pharm)
$SCPH: 2.5xAV; +7.3% (Bio/Pharm)
$FLNG: 2xAV; +6.7% (Oil&amp;Gas)
(1 of 2)"
154,@steven_schnegg @DeathMetalV @WHCOS Are you aware of the billions of dollars Chevron and other oil/gas producers are making….all due to their greed. This isn’t a President Biden issue….it’s the greedy companies.
155,"@Tim_Bousquet How do u figure that out.  You do realize that its not just gas, propane, oil and electricity.  It's on the fertilizer that farmers use to grow their crops so they charge more.  The trucks that deliver goods so they charge more.  Also carbon tax has GST applied to it."
156,"@GOP The only way the GOP could possibly sound any more idiotic is if they blamed the fact you bit your tongue on Obama. 

Everything they say is fiction. Prices are up b/c companies are gouging and artificially inflating. It started with Oil/gas and rolled down hill."
157,Martinez is also one of seven plaintiffs in the Martinez v. Colorado Oil and Gas Conservation Commission case; that case is a state-level lawsuit similar to Juliana v. United States.
