,2022-12-05
101,"@POTUS Good US President, Good US Administration, Good policy, Good strategy, Good performance, Good results, Happier life of Americans, Greater America. Hope gas &amp; oil price slump. Wish Green energy, Clean environment. Peaceful World. Better global economy."
102,"Los Angeles Bans New Oil Drilling, Will Phase Out Current Wells

#CITYCOUNCIL

https://t.co/1TGypqWnY3"
103,"Take energy. We (Germany) have ended our dependence on Russian energy imports. We are no longer buying coal or gas from Russia, and the same will soon be true of oil. https://t.co/fLXC6lQaLk"
104,@GavinNewsom YOU are the problem... Not oil and gas companies....
105,"@Spartisanhack @RobAllan4 @CupeAB @ABDanielleSmith Yes, what I’m saying is Canada can use our abu dance of oil and gas that Europe sorely needs to leverage the trade of other goods so there is no need for a carbon tax for that particular reason."
106,"@GavinNewsom Oil companies are not changing their profit margins, they are just going off the price of a barrel in open market. If Joe Biden didn’t cut off oil production in this country, gas prices would be much much lower. Blame the right people."
107,"Given how much upstream business has migrated to credit funds/new cap markets products, this is probably not that much of a wrench. https://t.co/J2sH4XUChe"
108,"@jdryan5000 @rickyricksmusic That was only part of the job. Most of them also worked in the shop. Back in those days gas stations were also full service automotive shops. Tires, oil changes, tune ups...etc."
109,@SenWarren Its because of your war on gas and oil!Your modern monetary theory of spending!Blame others!
110,"With the extortionist pricing of US oil and gas prices that the $EU has to pay, anyone with an iota of common sense should be planning a price cap on US oil and gas supplies, not already much cheaper Russian supplies. The irrationality of the EU is out of this world. #oilpricecap"
111,"#Gas price expert reacts to Russian #Oil price cap | #ABCNL

https://t.co/tjBBjzuhDz

#ABC #America #De #Gasbuddy #Haan #Mining #News #OilPrices #Pcmsid2494279 #Pvidnews94503168 #Patrick #Prices #Putin #Russia #Sanctions #US #Ukraine #Zelenskyy https://t.co/XtrKqG6Mlc"
112,"@kusssman He made oil and gas by Olamide, and that was 2019 .....stop playing 😂"
113,@POTUS Well do something about it instead talking about it put harder blocks on Russia. Buy your oil and gas from somewhere else other than Russia.
114,@Kanthan2030 This is what I am saying you say you cap the oil price but will anyone adhere to it? The Chinese will not as they are reselling US oil and gas to Europe at a much higher price. This is too funny to comprehend. UVL thinks everyone will follow.Whereas in reality no one will follow
115,"@sternenko It's time 
Time for ALL OF THE THE EUROPEAN PEOPLE to fight back!!
Not buying anything from Russia, no oil, no gas, no nothing!!
Rather drive on electric vehicles and heat up my home with solar panels and ground heat than Russian murder oil or diesel"
116,"@GavinNewsom It was your aunt and the the evil Biden That created this crisis !!! Don’t lie . Shut down pipelines . You want to lower gas prices : open the pipelines , produce our own oil and get rid of the gas taxes !!!! Simple . Don’t let corrupt politicians ruin this country"
117,"@POTUS Still high since you took over!
Doesn’t matter how u spin it we are still spending more on gas than when you first took office. So when you get gas down to 2.25-2.50 and not draining our reserves or using foreign oil then comeback and boast. Until then please do not insult us."
118,@GavinNewsom But yet you want to tax the hell out of everything in that state?  You are the reason gas is so high there not oil companies.  Are you ever going to answer for ripping the middle and lower class off?
119,"@anna_prole @ArtistAffame @ChrisMinnsMP ALP are LNP Lite. Similar policies and ideals. Same support for big corporate profits, insane economic growth, enforced poverty, coal oil gas industries, laura norder, privatisation of public assets, etc."
120,"Energy groups sue Biden admin for failing to hold oil, gas lease sales again https://t.co/kYr7Uuiybn #FoxBusiness

Sue and impeach.."
121,"Energy groups sue Biden admin for failing to hold oil, gas lease sales again https://t.co/XRFBBR94iq #FoxBusiness"
122,"2) Biden has a waged war on American-made energy by shutting down the Keystone XL pipeline, putting a moratorium on oil &amp; gas production on federal lands &amp; draining the country’s strategic oil reserves while making secret deal to boost OPEC+ oil production just before elections https://t.co/zdh3u5EXEM"
123,@TriTexan @GavinNewsom I thought WH said Putin was the reason oil prices have been pushed up? Maybe CA should drill for more oil vs importing it and they could bring down the cost.  Maybe add pipeline to bring more refined gas to California too. It would also help us up here in Oregon.
124,"@drrj1013 @edwinhollins @NoLieWithBTC They have dropped naturally. I work on the trading side of oil and natural gas, the price is due to global supply and demand. The price globally has soared,prices are set globally. There is no such thing as US oil and gasoline, there is a global pool of production and demand."
125,*Important Caveat that presidential or legislative policy isn’t the only policy impacting oil and gas prices.*
126,"@GavinNewsom US oil companies need to shut in all their wells. Huge cost and months to restart. Although about 6 months with no electricity, no gas, hospitals shutdown, Airports closed, no one able to get to work or grocery store, food running out in weeks. This would wake up climate zealous"
127,@POTUS the gas prices will go up soon enough  Oil prices are on the rise so gas prices will reflect the increases
128,"I just signed a @theactionnet petition: Sign the petition: Stop Manchin's Dirty Deal. Congress cannot sacrifice our communities and our climate for oil, coal, and gas industry profits.. Sign here: https://t.co/tnw5mUfCFq"
129,"Energy groups sue Biden admin for failing to hold oil, gas lease sales again

https://t.co/5ADJjgxngq"
130,@POTUS Hey Racist… just let the oil and gas companies do their stuff
131,@dereckgoto @edmnangagwa @energy_invictus @Chinamasa_PA @Dr_Mike_Bimha @Tinoedzazvimwe1 @TafadzwaMugwadi @caesarzvayi @MabasaSasa @chinamevich Is it oil or gas?
132,"@GavinNewsom You have the highest gas tax in the country yet are going after oil. Clown! 
Big isn’t spending in investment or exploration since you kind are trying to kill their industry."
133,"@MarceDaless Gas Oíl  en Panamericana km 35  $ 248 pesos el litro. 
Y siguen fabricando estupideces para intentar amortiguar el impacto de una condena.
Porque no Gobiernan para eso los votamos."
134,"@AdamKinzinger Why just pick just one, one of America's Top Oil and Gas Experts ⛽️ leading the way in Ukraine Cracking new ground ⛽️ 👌 

https://t.co/KLlDhds81d"
135,"@g_morkert IRAN : we have the second largest natural gas reserves in the world, holding more than 17 percent of global discovered gas fields also 24% of oil reserves in the Middle East and 12% in the world
USA : https://t.co/4vcHhMPqJg"
136,@MartinSLewis @bbc5live Bought a catering mini oven @ reduced price instead of using the main oven. Heats up ultra fast. No use of  dishwasher. Heating (oil fired regrettably as no gas here) only on twice a day but use two oil filled radiators instead and wood burning stove. Thermal layers
137,"So @GavinNewsom call a special session of the California legislature to work on high gas prices, and nothing happened… literally. They gaveled in the session read a proclamation and then close the session. Seems like much Ado about nothing. @CAgovernor #Oil #gasprices"
138,"@TweetTweetGang But but but climate change the world needs us to eliminate gas and oil, as least according to the WOKE climate warriors."
139,@GavinNewsom Weird 🤔 https://t.co/cT7zZqacjy
140,"If you care about NL's environment, people &amp; democratic institutions; please follow this group on FB. 

We have the opportunity to transition from oil &amp; gas to green energy but if we want to do it better, we can't allow the same systems to get us there!

https://t.co/attkLhjkj7"
141,"@GavinNewsom You think big oil gouges? For ea. Gal in CA.
- $.54 in state tax
- $.23 for CA's cap-and-trade program to lower greenhouse gas emissions
- $.18 for the state's low-carbon fuel programs
- $.02 for underground gas storage fees
- An average of 3.7% in state/local sales taxes"
142,@politicalham Not to mention the high global demand for oil and gas..
143,"@ANGRYADVISER @RichHomieKony @KlausBugz @sahouraxo Is this joke?
USA sucks... All the world hate USA, you rob from everyone, literally rob... 

USA come with guns and threats, and left with national treasures (oil, gas, water, ores, national companies, etc...)

Fortunately this shit is about to over, USA is dying, NATO is dying"
144,"Energy groups sue Biden admin for failing to hold oil, gas lease sales again https://t.co/HM3aETD56e #FoxBusiness"
145,"@POTUS How about Electricity, Natural Gas, Home heating oil? How are Americans able to afford to heat their home?"
146,@GavinNewsom Last I checked sport your jurisdiction ends at the Cali border. You speak only for fools. Go ahead and assault the oil and gas industry. More production will move elsewhere in the nation. Thanks pastehead!!
147,"Hmmmm.  We have quite a list of infrastructure projects that could use some immediate attention as well.  Too bad though - they are all based in the US.....

Biden to meet with oil and gas execs on how to support Ukrainians energy infrastructure, https://t.co/Ho2GwVXCsX"
148,oil or gas https://t.co/tfCUEyuyM0
149,"@CodeRedEarth Gen X, Y and Z saddled with the burden of acknowledging #DevastationfromClimateCrisis AND addressing, perhaps reducing, reversing this unstoppable #ProgressionofNaturalDisasters; 1959 Major OIl Gas producers warned of GHG impacts BUT Ignored Responsibilty #ChosePROFITSCONSUMERISM"
150,"@GavinNewsom I hope oil companies stop selling CA gas..

Walk.."
151,"@Hannah96261813 @AustinView01 @SenWarren Hannah, two years ago gasoline was $2.30 a gallon Biden comes along and reverses all the Trump programs, shuts down the American oil production, stops Natural gas production, and causes Inflationary spending. Read-up before you write about things you don’t know!"
152,"link #com #energy #oott #oilandgas 

https://t.co/884HWm0fq1 https://t.co/lJikLoTCPb"
153,What the OPEC+ oil production cut means for gas prices https://t.co/HXJPBiA7AX #FoxBusiness
154,"@GavinNewsom Or we can just start pumping our own oil again and open up more leases. Like what we were doing from 2016-2020, when gas was 50% cheaper."
155,"Despite Western sanctions and an expected drop in oil and gas revenues, Russia can still pay for its war on Ukraine. https://t.co/8h5NDEN31G"
156,@GavinNewsom What a joke. You are ripping CA off by forcing EV which requires huge dirty mining costs&gt; oil and gas cars. Don’t confuse you with the facts
157,"@MikeMcC41469644 @DicksonVella @dazeconfusedbyu @JoJoFromJerz @Reuters That’s a very small percent of the world’s oil supply, which again dictates the price we and everyone around the world plays. Also, where I live gas is $3.15. That’s about what it was before the pandemic. Pandemic prices were artificially low."
158,"@POTUS Gas prices are down due to midterms.
Democrats unloaded the oil reserves which is going to create more inflation.
We shall see. But the record speaks for itself."
159,@GavinNewsom Gas Tax collection by the State far exceeds oil company profits.  This crisis is one of leadership in Ca.
160,"@KevinBraddock6 @JamesHedrick20 @Blue_Spice_Boi @DougJon13510386 @JoJoFromJerz Hmm so trump met with the Prince and asked for him to go to Opec and ask the other members to put the price of oil up. Oh, and still the US somehow managed to have low gas prices during his four years. Makes sense🤡 ."
161,@GavinNewsom Says the people who ban oil drilling AND then tax the hell out of gas.  Shouldn’t YOU be answering???
162,"@Teufelhunden37 @NefariousKnut @JoeRobinEnjoyer @hodgetwins https://t.co/ZO1hAZZIYD

Is this enough for you?"
163,"#California the reason your gas is so high is because this fool taxed you to death. Whe he says he’s going after oil companies, they will just pull services from you state and your gas will be 10 bucks. Wth up . Are you people insane listening to this crook? https://t.co/I6nex7cUzs"
164,"""Gas prices are dropping sharply and are only a nickel more per gallon than a year ago,"" AAA spokesperson Andrew Gross said. But, because oil is the main ingredient in gasoline, ""OPEC+’s move could slow this decline."" 
https://t.co/0W2S0lhFFh"
165,The real gouging is by the state of California to the tune of 85 cents a gallon placed on the gas users in the state. You can’t keep raising taxes and blaming the oil companies. https://t.co/ZY9kJALSiX
166,@ChrisBlorfsalot @Bologna_Salad It’s actually just a drilling rig. Could be for gas or oil perhaps both.
167,@GavinNewsom The reason gas prices are so damn high is because you and Biden won't let them drill for oil.
168,@catturd2 Have you been in the grocery store lately bought gas . Bought oil. He's a senile old fool.
169,"Wyoming Gov. Mark Gordon is again taking the Department of Interior to court. The governor has filed a second federal lawsuit against the department relating to a Bureau of Land Management decision to pause oil and gas lease sales.

https://t.co/lhUsNV6M1m"
170,"La empresa Aker BP aprobó planes para invertir 19.000 millones de dólares en el desarrollo de nuevos proyectos en el mar de Noruega 🇳🇴 hasta 2028 https://t.co/uAQW6v1Sp5

#norway #investing #Finance #noticias #news https://t.co/mugrLfBbyw"
171,"Energy groups sue Biden admin for failing to hold oil, gas lease sales again
https://t.co/p2R4ub4clB"
