,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28
12,$XLE - https://t.co/Am8UEyBmj2 - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%,"@beachbirds72 @DonJBacon Trump arranged for OPEC and Russia to cut production by 25%, days after losing the election, so he could feather the nests of his gas and oil exec buddies during a supply chain crisis caused by his gross mismanagement of the pandemic. That was the main cause of our inflation.","@Kimba5D @dosinaga2 Todo energía argie oil y gas, no se vende y causionate, el mkt esta pagando y sigue regalado. Bancos todavía no toco.",@najjar_richard @dirk_fasshauer @RonFancy @howienudet @Rebelredbird @ThereseOSulliv2 @GunnyGlenn0369 @DebbieStelts @ShellyRKirchoff @OB1Benobie @jbizzy6969 @lostandlovinit @avatarmax123 @hellosf77 @kevinoler @KimberlyMcKeeve @HuntersArtWork @HamRadioJoe @Blitz0076 @alacilento1 @AngryFleas @JJeffersonNewb1 @LifeNyc2 @TonyinNY @hrt6017 @tallnblonde1 @BconnectedJ @tRick_the_only @ChubbsNShooter @itisjustmebabe @dogsdontliket @2_drac @ghost321 @jimaw63 @FrankGillilan13 @DebOdonnell18 @Littlwritergir2 @JamesCa45920153 @kevin_witchell @Godslightangel7 @wanglingfashi1 @DianeRu83690007 @leviathan1668 @alshadowdancer @Orion69x @Colleen66052050 @IZMKS44 @LaneMonsterTX @jeffschlueter1 @DavidKe65248063 But the red states were wide open so they could kill more people from Covid correct? Dead people use less fossil fuels. Maybe it is oil companies profits and old fashioned supply and demand. Please explain? https://t.co/tMPfwp1tpF,"exxon and chevron - similar companies, oil and natural gas, just picked the top 2  in US by market cap tbh

charts have both recently broke decade long resistance. will trade these similarly as my ""fuel"" basket https://t.co/qr9zrm1wBa","@jimmkirkk @drjdmartin China builds most of the wind turbines and solar panels. But China uses coal, oil, gas &amp; hydro. China builds 90 per cent of Australia's solar panels. The blades can't be recycled. So they have to be buried. Great for the environment."
13,"@ViralVixen_ @JPerryFarm @laurenboebert Because I remember Biden re-entering the Paris climate accord, cancelling keystone pipeline, halting leaseing program in anwar, issued a 60 day halt on all new oil &amp; gas leases &amp; drilling permits on federal lands + waters nationwide which makes up 25% of US oil production...","Earlier this evening, over 45% of UK electricity was coming from wind power.
Think how much electricity could be generated by all the UCP blowhards we have in Alberta telling us how critical oil and gas are. https://t.co/ofzZc8RuXw","@Serge29948835 @agris1144 @LukeryaStart @KyivIndependent Fully agree. And I'm happy, that European countries have taken this dependency very, very seriously and if war will continue next year, they / we will make our infrastructure fully independent from RU gas and oil.","@maxfawcett I'm sure people who grew up in Alberta love people moving there, campaigning against oil and gas and advocating more taxes. Terrific.",The Problem With Oil And Gas Price Caps https://t.co/fgKzehc4Gz,@afneil So you finally realise that Thatcher took us down the gas power station route and the tories wasted all the NS oil &amp; gas revenue on tax cuts instead of investing in an renewable future &amp; the latest bunch of Tory idiots got rid of our gas storage leaving us high &amp; dry?
14,$XOP $XLE $AMLP NEW ARTICLE : AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7% https://t.co/ywmqVZAvEo Get all the latest $XOP related news here : https://t.co/7zAzjxA1QN,"@AdamConlon15 Yep. That said, it's getting increasingly hard to get oil and gas anywhere. After countless wars for the stuff, we're now surprised that it's not so easy to get hold of nowadays.","[IN TOWN] 
H.E @GabrielObiang already in Luanda to attend the #Angola #OilandGas conference held by the Angola 🇦🇴 Government. @investinEG22 @energy_african @AACAPITAL19 @AhoraEg @Lng2A+info @EnergyCapPower  https://t.co/0oBeQNFzGo
https://t.co/MvrnpWsjK7 
https://t.co/XThV3Edutb https://t.co/I0qBc8eIKf","Smart 2nd and 3rd world countries have been leapfrogging tech to move up fast in wealth. In energy, we may see dung to solar/battery create unimagined progress in many places that are wise enough to leapfrog coal/oil/nat gas.","வரும் 2023,ஜனவரியிலிருந்து கத்தாரில் Oil &amp; Gas,Offshore  நிறைய Projects ஆரம்பிக்குறாங்களாம்.
அதிக அளவில் ஆட்கள் எடுக்க வாய்ப்பு.
கண்கொத்திப் பாம்பாக விழித்துருங்கள்..Long term,short term,rotational விதமாக Intwke இருக்கும்..Offshore Experience வேணும்னு நினைக்குறவங்க ரெடி ஆகுங்க https://t.co/Z3lM1WhAz0",ADX Energy has signed a Joint Development Agreement with Kepis &amp; Pobe Financial Group Inc. to fund the drilling of the #Welchau gas prospect in ADX-AT-II exploration license in Upper Austria. Read more: https://t.co/9V9c3i9KF1 $ADX $ADX.ax #oil #gas #energy #ASX https://t.co/8MqpaYiBVc
15,@SamRamani2 I bet their ass still buys oil and natural gas from them .,"@ChownykMichael @ScottCJMcKelvie @BrianGitt It nice that you have those things. You know Michael, not all of us have the energy luxuries that you have. Especially the poor who have to cook their food with oil and natural gas. Personally, I don’t want to put solar panel on my roof and buy an electric car.","BIDEN AND THE REPUGNANT DUOPOLY DITHERS... AS THE WORLD BURNS.

Back at home, Biden will face pressure from activists to declare a climate emergency to bypass Republican intransigence and to curb the leases still being liberally handed out for oil and gas drilling. https://t.co/kuxeztRjYt","The current situation in Germany. Natural gas, coal, crude oil, electricity generation and pricing, and inflation, personal energy saving, reducing heating in public buildings, no decorative outdoor lights. https://t.co/KEl3nE1G57","A party somewhere to the proximate left of Canada's New Democratic Party... that will crush Big Oil &amp; Gas... 

That will destroy monopolies... and end boardroom, C-suite violence and Billionaire Wars waged against the American people. 

3) https://t.co/PEY9IDNzBH",@johnredwood @Louise_katz Coal oil and gas in abundance reliable for centuries what on earth are these idiots doing or thinking?  The technology does not exist to match these we have time let’s get back to basics and live
16,@PhinsFan1399 @TheInsiderPaper Follow the money https://t.co/PxBj0YHJ2g,@WestNitaFBPE @sophielouisecc These British Nationalists are actually pro-Putin - part of their job description is to promote the sales of Russian oil and gas. Sophie is a Russian asset.,"False Prophet Warnock voted for the following taxes:
-$65 Billion Natural Gas Tax
-$12 Billion Crude Oil Tax
-$1.2 Billion Coal Tax
-Corporations' tax hikes on their incomes that will end up being passed on to consumers
-$124 Billion Stock Tax: IRAs, 401ks, and Pension funds","@BallerZ1nda Jakarta is literally disappearing - this is what it will look like in 2050. The capital needs to be moved, and Jokowi wants to decentralize some of the power away from Java. The new capital is in the center of the oil &amp; gas industry - basically, the Houston of Indonesia. https://t.co/6tJiRdjB6T",@RachelNotley Wrong. Alberta's companies want less interference from Ottawa so it absolutely the correct approach. The oil and gas industry has been under assault by Trudeau and the Liberals for 7 years now. Finally a government is stepping up to protect our constitutional sovereignty.,"Among big emitters, just Australia, Indonesia &amp; the US have signed the #GlobalMethanePledge.

China's climate envoy did talk about combatting methane emissions at #COP27, but he only mentioned oil and gas - not coal. https://t.co/G7QjhyA3aH"
17,@HelenRo41328161 @Effiedeans Aye right. And if we were independent the English gov wouldn't be getting the £80bil from the oil and gas industry  over the next 2 years that's helping them out of their black hole.,"@Flash_news_ua Crimea is part of Ukraine. Cannot be economical without Ukraine’s water and land bridge. Besides, this war is about the oil and gas in the Black Sea that belongs to Ukraine.","@FBU_Scotland_EC @AlanPet45745060 @FBUScotland @fbunational @JMcKScotRegSec @UnityConsults We need to stop repeating what the Tories have been telling us, it’s all political choices that they’ve made. Energy companies, train operators, Royal Mail, big oil and gas, Amazon, Google, Vodafone, huge profits, no tax, low wages. There’s plenty money, just not for us.","@wydna00 @abou_rijal I'm always thinking about when Pompeo said the ice caps melting were going to open up 13% of the world's undiscovered oil, 30% of its gas and fisheries galore. He promised us artic sea lanes would become this century's suez and panama canals","வரும் 2023,ஜனவரியிலிருந்து கத்தாரில் Oil &amp; Gas,Offshore  நிறைய Projects ஆரம்பிக்குறாங்களாம்.
அதிக அளவில் ஆட்கள் எடுக்க வாய்ப்பு.
கண்கொத்திப் பாம்பாக விழித்துருங்கள்..Long term,short term,rotational விதமாக Intwke இருக்கும்..Offshore Experience வேணும்னு நினைக்குறவங்க ரெடி ஆகுங்க https://t.co/wVf0MyhVIo","@MaryAli63137326 @Midwood49 @SenWarren Trump allowed fracking and drilling for oil and gas on federal lands. Biden campaigned on killing fossil fuels.  ""There is no more drilling"". https://t.co/1ulYCesLrB"
18,@MichaelKantro Back breaking for some… the few brave enough to load oil/gas in #COM seem to have done quite alright. Happy thanksgiving!,"@Edinburgh_CC @planningedin Gas and oil will always be needed, it's how we make the wind turbines and the equipment needed when they break down, we need to focus on making sure scotland can supply energy to every home at affordable prices first, then try to cut emissions later.","@RachelMcQuade1 @elonmusk @mazemoore Here is how Biden created the inflation:
https://t.co/6vbnX0g3kW",@AndrewScheer NDP always has good policy ideas. Why are you trying to copy them? Meanwhile your oil gas bros are gouging the shit out of those that need heating fuels.,"#cryptocurrencies #crypto #PreciousMetals #commodities #oil #gas #wheat #coffee #corn #broker #trading #cryptotrading #tradingonline
https://t.co/DXUi0rqgtc",@BidensWins 🚨Breaking news:  Oil prices are STILL up over Jan 2021 when Biden took office - because HE started a war on US oil and gas.  What a clownish Tweet to celebrate the failure of Biden's oil and gas war.
19,"Firstpost, Nov. 23. Recommended.

#Russia Could Shut Down All Europe's Nuclear #Power Plants.
Europe’s energy crisis caused #Shortage of gas, oil, coal.
Another fuel which #Europe depends on Russia for is
#URANIUM, #Nuclear #Fuel: 🥴 😱 🥶 🕯️

https://t.co/EpYcJ5wrqW via @YouTube","My Dad worked in the oil &amp; gas industry for 20+ years, and I was NEVER attached to it. You are truly pathetic if you don’t believe in the Green New Deal, because it would not only help your family member transition jobs but also stop climate change.","@TonyClimate The ironic part is that by restricting the oil and gas supply, they increase their price and the company makes a lot more money!","@stealthygeek @SawyerMerritt @Tesla This EV credit is available to everyone not Tesla alone. For government subsidies, many companies including oil and gas ones enjoyed theirs. If subsidies are bad, let’s remove them all!","@POTUS Ev’s are terrible. You need oil and coal to charge them. But don’t tell the minions that. Btw, why don’t you let the car manufacturers release the gas engine that gets 70 mpg.","@SenatorRisch Oil/gas companies still have 9,000 unused drilling permits. 

A Barrel of oil is currently $74

Oil and gas companies are price gouging.

This ends my Ted Talk."
20,$AMLP - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%. https://t.co/GJTzzOL52K #economy #stocks #trading,"@AdamConlon15 yeah, there's a lot of crazy shit going on as oil and gas become scarce and expensive.","@MadeInTheUSANJ @laurenboebert If your story is true I don't give a shit about ExxonMobil mobile tax cuts when I was paying 1.85 at the gas pump.
How about Joe Biden shuting down the keystone pipeline just to buy Russian Oil.     Facts.   So Joe Biden paying for Russia Bombing Ukraine 🇺🇦.",@RhonddaBryant The same as they can justify taking renewables. &amp; ring fencing oil gas energy sectors. To protect profit,"@stupendosoccer Yes, because I understand it on a basic level. At work atm I’m doing loads of stuff on Oil and gas, &amp; a lot of the processes involved in it is basic Chemistry GCSE content which I remember very well. “Not everyone listens”- that’s on you, what system exists that covers every flaw","(3 of 3)
Materials: -2.93%; 1 of 40 Up
Fuel/Elec/Util: -3.09%; 1 of 19 Up
Oil&amp;Gas: -3.22%; 2 of 80 Up
Green Enrgy: -3.57%; 1 of 18 Up"
21,"@HRH_HENRAY Ahhh Crypto, oil and Gas only you? It's like it's you that'll fund the party if PDP lose",@JROL17_ @WifeyAlpha Well done. Seeing shit like this make me regret my decision to work in oil &amp; gas sector,"HOW CAN ANYONE AFFORD

ANY HIGH PRICED ITEMS.

TO EVEN COME CLOSE, EVERYTHING
WILL HAVE TO BE 60 PERCENT

OFF. NO OIL OR GAS UP STATES. NO HEATING OIL.

THEN ALL THESE STORES 

ARE EXPECTING BIG SHOPPING?

BIDEN PUT USA IN THIS INFLATION.

BAD HORRIBLE DECISIONS

ABOUT HOW TO:",@KeepRuminating @VABVOX @NickAdamsinUSA Higher education? And be askin 4 student forgivness! I make a very good living in the west texas oil fields! Nothing wrong with a higher ed. but dont go &amp; run up $100s of thousands in loans for a $30k/yr job? I ❤️ $5/gallon gas prices,"@SenateGOP Here, from your own side.
""The Heritage Foundation is an American conservative think tank""
The Senate Republicans TELLING LIES!
Why do you listen to them????????
https://t.co/yebR7xZLcx","@donbrascothe3rd @CashmereTerry @Thegreatmike691 is a silly boy. AB have more reserve funds than most of Canada put together; grow their food/meat, pretty much everything else. They also, um, own the products that heat homes, the oil and natural gas.  You'll starve/freeze before they do 🤣"
22,@SenTedCruz But we are in better shape than when Trump left office he has tried to stop inflation but you and other Republicans have stop everything that would have helped. Big oil have paid you and others to keep gas high causing inflation.,@rydmaz @buchebuche561 @alain_co Si on remet la filière n en ordre de marche et qu'elle crache de l'électricité nucléaire plein pot Total peut transférer une grosse part de ses compétences oil&amp;gas sur l'H2.,"@NEWSMAX While inflation “rages for all” well north of 15%   Maybe list some important items we all need and use such as food (eggs, bread, chicken, baby formula, etc) gas, electric, nat gas, heating oil up north, that only rose 8%.  Don’t read me a definition stick to reality.","@CherylBozarth @PierrePoilievre So why don’t you show us your natural gas bill from last year &amp; the one from this year!  People are paying $2,000 to fill up their oil tanks &amp; that will NOT get them through the winter!  Go see how many elderly people are spending their days in malls to keep warm! WAKE UP!!!!","@DonDurrett The price of oil and gas ⛽️ will dictate inflation.  About 200 or mores products needs fossil fuel. Big example fertilizers to grow crops, then transport to grocery stores.","We don't need opec, we don't need anybody we have natural gas, nuclear energy and beautiful pure oil. We don't even need the pipeline to Canada. Why are we purchasing oil from other countries and sending our reserves to China? THINK PEOPLE, THINK!! 

https://t.co/qAi3v7Giup"
23,@WhiteHouse And we are trillions in debt heading to recession gas still expensive heating oil I mean food inflation. You can polish a shit but it’s still shit,The big boys that bidding for the deep water oil &amp; gas exploration 👀,@WeAreSinclair don’t normally watch your news but watched tonight and listened to your oil and gas propaganda. You people are dangerous.,"Wow 'They're willing to initiate a mass shooting' in order to take out ANY THREAT TO BIG OIL AND GAS.  And /you wonder' why,..there is 'no cure for cancer?????"" https://t.co/WatK5OWJ9j","@Michell828282 @Brit39202933 @lavern_spicer Please learn how the oil and gas industry works, too. You are completely clueless about that.",@Econimica @MacroAlf As always an original and intriguing chart. The West's embrace ESG may compound demand reduction demographic change ponts to. Someone will find a way to use oil and gas is it just too powerful.I wonder how much additional energy use the global south will use if given the chance.
24,"A great initiative and at the right time which will go a long way in successful execution of numerous offshore oil and gas projects that are in the Pipeline and fulfill the ""make in India"" goals. 
@makeinindia 
@ONGC_ 
@Pankaj3006k 
@HardeepSPuri 
@PetroleumMin https://t.co/3xrYAq4LMl","@AdamConlon15 I understand things are pretty scary in the UK right now with affordable energy. I'm sorry everyone has been put in this predicament. Unfortunately, oil and gas are very limited. And fracking wouldn't even cover a fraction, never make a profit, and destroy essential resources.",@NickAdamsinUSA And we should take away all of their oil too to counteract Biden’s inflated gas prices!,@Hepworthclare @Artboy1 We have our own #OIL &amp; #GAS in the #UK yet we allowed it all to stay underground Offshore&amp; Onshore We must do more to save the UK from imports Why we can’t use it is a mystery #Brexit is now costing us dear with very little revenue being achieved @Heid_oil @ElSenala @EUtopean @AP,"@woe_tree @visegrad24 But let's get back to oil, gas. RU is forced to sell more at loss to avoid shutting down drilling sites because of lack of storage. Shutting down means oil/gas field is permanently out of production. So, they get more oil/gas but Must find a buyer, even if they sell at loss.",@ThesvanJosh @JoshOSU84 @Josh_Pate82 @hbomax Oil and Gas people are the worst!
25,"@SensibleSteve2 @PeterDClack @News_Magpie Nope, nonsensical Steve

I think you'll find there are more people making much more money from oil and gas. The consequences if which are only too well known.",@karen6566a @Xx17965797N Putin is a known liar. It is well known Putin wanted the newly found oil and gas deposits for himself and his cronies. Putin also couldn't handle Ukraine being a successful democracy that kicked out his hand picked puppet.,"@sophielouisecc Iceland already has net zero electricity and their bills have not gone up at all. The cost of energy js driven purely by the cost of fossil fuels, the sooner we ditch gas and oil the sooner we will have energy independence.","@a_honey_bun @LeMayAllTheWay It does us no good to have Iran controlling the Persian Gulf and controlling the flow of oil and gas out of there. It does us no good for China's navy to replace ours patrolling global trade routes, or them and Russia stationing troops globally to interfere against our interests.",@toryboypierce @lisanandy When your lot end non dom status and introduce a windfall tax on your Oil &amp; Gas company paymasters 🤬,"@red_hankelrod @JoeNBC Pres Biden was criticized every hour, every day for months by the news media and Repugnuts, even though the president has zero control over oil or gas prices.

Since he was blamed when pricing went up, I thought it was only fair he should get credit when pricing goes back down."
