,2022-11-26
107,"@AndrewScheer Canada’s oil and gas sector posted $12 billion in profits last quarter, up nearly $5 billion from the previous third quarter. 

But sure, blame the carbon tax for high heating costs."
108,@cathymcmorris Wake up. We’re totally aware of costs. We’re living it. &amp; shortages now u got the House! Unbelievable y republicans have no idea how to reduce inflation or prices gas food oil. U lied. &amp; r waiting 4  r President’s hard work 2 show reductions so u all can take credit! Dirty liars.
109,@jplaya15 @littlebearskye @BillKristol @AngelRe96386095 Yes of course. We have no clue what we are doing. No oil/gas in the North Sea. No domestic terrorist that murdered 69 youth at a summercamp after he bombed a government building where our PM Jens Stoltenberg had his office. And the youth was from his political party. 🤡
110,"On Nov 5, $96 per barrel, dropping to $76 per barel on  Nov 25.

In Washington state, most gas stations are charging $5+ for regular. 

The Big Oil companies are screwing us. https://t.co/uHUQ8zNfj4"
111,"He's probably right, how many windmills and solar units does he say we need to do the same? I think he said the entire USA has to be covered. He is advocating a move from wood to coal to oil to natural gas and Nuclear over time. https://t.co/f7vtQJnoy2"
112,@najjar_richard @dirk_fasshauer @RonFancy @howienudet @Rebelredbird @ThereseOSulliv2 @GunnyGlenn0369 @DebbieStelts @ShellyRKirchoff @OB1Benobie @jbizzy6969 @lostandlovinit @avatarmax123 @hellosf77 @kevinoler @KimberlyMcKeeve @HuntersArtWork @HamRadioJoe @Blitz0076 @alacilento1 @AngryFleas @JJeffersonNewb1 @LifeNyc2 @TonyinNY @hrt6017 @tallnblonde1 @BconnectedJ @tRick_the_only @ChubbsNShooter @itisjustmebabe @dogsdontliket @2_drac @ghost321 @jimaw63 @FrankGillilan13 @DebOdonnell18 @Littlwritergir2 @JamesCa45920153 @kevin_witchell @Godslightangel7 @wanglingfashi1 @DianeRu83690007 @leviathan1668 @alshadowdancer @Orion69x @Colleen66052050 @IZMKS44 @LaneMonsterTX @jeffschlueter1 @DavidKe65248063 But the red states were wide open so they could kill more people from Covid correct? Dead people use less fossil fuels. Maybe it is oil companies profits and old fashioned supply and demand. Please explain? https://t.co/tMPfwp1tpF
113,"@maxfawcett I'm sure people who grew up in Alberta love people moving there, campaigning against oil and gas and advocating more taxes. Terrific."
114,"Smart 2nd and 3rd world countries have been leapfrogging tech to move up fast in wealth. In energy, we may see dung to solar/battery create unimagined progress in many places that are wise enough to leapfrog coal/oil/nat gas."
115,"The current situation in Germany. Natural gas, coal, crude oil, electricity generation and pricing, and inflation, personal energy saving, reducing heating in public buildings, no decorative outdoor lights. https://t.co/KEl3nE1G57"
116,"@BallerZ1nda Jakarta is literally disappearing - this is what it will look like in 2050. The capital needs to be moved, and Jokowi wants to decentralize some of the power away from Java. The new capital is in the center of the oil &amp; gas industry - basically, the Houston of Indonesia. https://t.co/6tJiRdjB6T"
117,"@wydna00 @abou_rijal I'm always thinking about when Pompeo said the ice caps melting were going to open up 13% of the world's undiscovered oil, 30% of its gas and fisheries galore. He promised us artic sea lanes would become this century's suez and panama canals"
118,@AndrewScheer NDP always has good policy ideas. Why are you trying to copy them? Meanwhile your oil gas bros are gouging the shit out of those that need heating fuels.
119,"@stealthygeek @SawyerMerritt @Tesla This EV credit is available to everyone not Tesla alone. For government subsidies, many companies including oil and gas ones enjoyed theirs. If subsidies are bad, let’s remove them all!"
120,@RhonddaBryant The same as they can justify taking renewables. &amp; ring fencing oil gas energy sectors. To protect profit
121,@KeepRuminating @VABVOX @NickAdamsinUSA Higher education? And be askin 4 student forgivness! I make a very good living in the west texas oil fields! Nothing wrong with a higher ed. but dont go &amp; run up $100s of thousands in loans for a $30k/yr job? I ❤️ $5/gallon gas prices
122,"@CherylBozarth @PierrePoilievre So why don’t you show us your natural gas bill from last year &amp; the one from this year!  People are paying $2,000 to fill up their oil tanks &amp; that will NOT get them through the winter!  Go see how many elderly people are spending their days in malls to keep warm! WAKE UP!!!!"
123,"Wow 'They're willing to initiate a mass shooting' in order to take out ANY THREAT TO BIG OIL AND GAS.  And /you wonder' why,..there is 'no cure for cancer?????"" https://t.co/WatK5OWJ9j"
124,@Hepworthclare @Artboy1 We have our own #OIL &amp; #GAS in the #UK yet we allowed it all to stay underground Offshore&amp; Onshore We must do more to save the UK from imports Why we can’t use it is a mystery #Brexit is now costing us dear with very little revenue being achieved @Heid_oil @ElSenala @EUtopean @AP
125,"@a_honey_bun @LeMayAllTheWay It does us no good to have Iran controlling the Persian Gulf and controlling the flow of oil and gas out of there. It does us no good for China's navy to replace ours patrolling global trade routes, or them and Russia stationing troops globally to interfere against our interests."
126,"@snackgod @JamesBradleyCA Fails at ensuring the laws of the office he holds are faithfully executed. Restricts domestic oil and gas production, leading to higher gas and heating prices yet begs foreign countries including Venezuelan, Iranian and Saudi increase production.
Real winner of Chief you support."
127,"@DollarVigilante Putin has Europe by the balls, and President Bite-Me gave it to him by killing US oil and gas production.  Germany will freeze this winter."
128,"And Im still working on other transaction of Gold, Coals, Nickel, Silica, Dumptruck, Oil n Gas. Thanks God this brain is made by You. If its made by people maybe it has been broken error. 🤦‍♀️😅😵‍💫 https://t.co/AzyUmEzzRF"
129,"@DaleVince @ChrisGPackham Having held#RSW Renishaw shares in the past i know they calibrate for the Oil https://t.co/zfUVJCfuUI it the same company?
Kerry are a gas servicing company and gas is the bi product of?Obviously you wouldn't take their money sponsorship Dale? https://t.co/Uo75BJbAhi"
130,"#Surgutneftegaz is engaged in prospecting, exploration and production of #hydrocarbons in three #oil and #gas provinces of #Russia - West Siberian, East Siberian and Timano-Pechora provinces. To know more: https://t.co/4Us9IV3wjd"
131,"@PierrePoilievre The carbon tax adds .11 to a litre of gas, so perhaps you can talk to your friends, the oil and gas companies and ask them to lower the price of a barrel of oil so that the carbon tax is lower?  That way, my little grandson will have a world to grow up in too."
132,"And Bidens’ campaign against American oil &amp; natural gas.
#BidenEnergyCrisis https://t.co/Kbgc5DykuU"
133,"@Reuters So we're importing dirty crude oil from Venezuela? So long Chevron. Last tank of gas I'll be buying from you!  And who will be overseeing the billions now being released for ""humanitarian"" spending?  This thing stinks to high heaven."
134,"@kramisarch The Jews have oil, gas, diamonds, metals including gold, vast agricultural lands, #theworldcup ..oh wait... they don't. That's someone else!! https://t.co/xJdF5Jk1ch"
135,"@johncusack Now do Boeing, Lockheed, and the Oil and Gas industry."
136,@JustStop_Oil When all oil and gas stops what will you use to replace the derivatives used in the manufacturing of life saving medicine's or don't you care about that?
137,@ZubyMusic Trump even warned Europe not to rely on Russian oil and gas. And they all laughed at him.
138,"@zeitgeistsurfer @Mining_Atoms 2/ That means we will continue to drill oil. When we drill it, we distill it. We get lubricants, heavy fuel oil, diesel, jet fuel and gasoline. My question is if we don’t have gas cars what do we do with the gasoline?  Before cars, we wasted kerosine and dumped the gas in creeks"
139,"@PLeonardNYDN Maybe bcuz they practice and play on too of a swamp and garbage dump, and all those damn gas &amp; oil refineries. Personally I think they should move the practice facility somewheres else to limit the exposure. Gotta think the Jets don’t practice there at all."
140,"I gonna be a Democrat so I don’t have to worry about high gas prices, high food prices, high inflation, millions of unknown people strolling across the border, increasing fentanyl deaths, relying on other places for oil, gang shootings in the big cities! Aw yes, peace of mind!"
141,@charlesadler Norway's fiscal health isn't all oil &amp; gas. They have hefty VAT taxes on top of other creative taxes on things like vehicles for example.
142,"@SenWarren -
...and the NATO Supremacists said, ""Let us make the SLAVes (Ukrainians and Russians, of a single root) fight each other like gladiators, so that we may control, once again, the price of gas and oil."" ⛽ ⛽ ⛽ 
-
https://t.co/VhHWgjw58A"
143,@DrDinD @Khavren @bmeijen1 @stealthygeek @Tesla The credits are kind of like the tax breaks to oil and gas companies.
144,"The GOP forgot about gas prices after the election. The only remaining parry interested on governing did not. 

https://t.co/YVbp4Z63hp"
145,"@DanCrenshawTX Big Oil has chosen not to drill on their unused leases. 

In addition to millions of acres of idle leases that could be drilled, the oil and gas industry has nearly 7,600 approved, but unused, drilling permits on hand right here in the USA."
146,"Working to #CutMethane pollution from the oil &amp; gas industry is one of the most effective tools we have to #ActOnClimate. That's why @EPA's new proposal to #CutMethane is so important. It's time to finalize the strongest safeguards possible. #NoTimeToWaste
https://t.co/mozuStQk0J"
