,2022-12-02
42,"@MummyMay58 @RobertM12997643 @GermanAmbUK @NicolaSturgeon That old chestnut again. 😂😂😂😂 strange EU offer this option to the English Government and they refused it, like many others things.  It’s like their terrified at losing the oil, gas, whisky, water and electricity, yes that old chestnut again 😂😂😂😂"
43,"GAS PRICE RELIEF⛽
""Ways to save at the pump""
Why #gas prices are soaring when the US barely uses #Russian oil? Check out this video NOW for BIG SAVINGS at the gas pump!
https://t.co/HWFrxuCty8
LIKE ▪️ SHARE ▪️ COMMENT"
44,@IanRea2 @NoMoreNATO The US is selling gas to EU at 4 times the price pre Feb 2022 and they think this action will lower the price of oil. Dream on.
45,"@CityCastSLC @AliVallarta @Em_Means13 @RockyAnderson One other comment on this episode. When Republican lawmakers in Utah talk about diversifying the rural economy, what they mean is diversifying the sources of subsidizes for oil, gas, and coal."
46,Tired of petrol heads nort asking the obvious question of government. Where is the plan to move away from dependence on oil and gas and the instability surrounding that industry. https://t.co/13QdoqVFJ2
47,"@KyivIndependent If RU completely shuts down sales to the EU, what are the benefits of the sanctions? It is precisely the EU itself that will suffer losses. Cause they have to buy oil &amp; gas from US, which is 4 times more expensive than Russia's. Again, US is deceiving EU with sanctions on Russia."
48,"""The neighborhood oil and gas drilling that has been ravaging our Black, Brown and often disinvested communities for generations exists because of the same kind of racism and corruption we all heard on that recording"": https://t.co/X2o0SZKNqV"
49,"In what LA City Council President Paul Krekorian described as ""the most important step towards environmental justice that this council has taken in recent memory,"" oil drilling will be phased out in Los Angeles and new oil and gas wells banned immediately after a 12-0 vote today: https://t.co/L32elcovye"
50,"Of course Brandon is happy about gas prices,  he's draining our oil reserves."
51,@POTUS YOU haven’t created 💩! People went back to work after the catastrophic Dim lockdowns! You’ve single-handedly destroyed our oil and gas industry while missing the a$$es of foreign despots. You’re an abject failure and embarrassment to all Americans!
52,"2-HAS DESTROYED OUR AMERICAN CHILDREN... 
THERE WAS NEVER A THREAT TO THEM &amp; BUT the gov't is STILL pushing POWER &amp; CONTROL!! If biden truly wanted to strengthen the USA, he would get rid of CRT, OPEN UP GAS/OIL DRILLING, take ppl OFF welfare, those that are on..."
53,"Voila one of the big differences between so-called green energies and O&amp;G - the greenies are happy to leave their ugly, decaying contraptions behind for all of us to pay for the wrecking. Oil companies usually pay a decommissioning bond. https://t.co/oVDDHvcmo9"
54,"@POTUS After a pandemic dip wad. Prices are sky high, your turned off our oil in this country that made our gas double in cost. This is your fault , idiot."
55,"Stopping the Russian war of aggression in Ukraine requires the same steps as stopping the #ClimateEmergency. The faster we draw down demand for Russian oil and gas, the faster we can cut off their main source of funds for buying arms—and for further enriching their kleptocrats. https://t.co/G4f9zSRKeY"
56,"@GavinNewsom @GOP First. Please stop trying to divide. We know it’s working for you. The GOP had this country oil solvent. Reserves topped off, gas prices at an all time low and we were even exporting oil. It’s was the democrats that screwed the pooch there. Proof is out there for people to see."
57,"@SenJohnKennedy This is a flat out lie. The “green” agenda hasn’t enacted anything because the GOP has blocked every attempt in order to appease their oil, gas and coal donors. Grid issues are the result of GOP failure to support adequate infrastructure… see Texas Sen. Leghorn."
58,"983,453,006,171,838Solar energy striking Earth this year (MWh)
62,455,804Oil pumped today (barrels)
1,419,460,264,057Oil left (barrels)
14,803Days to the end of oil (~41 years)
1,078,220,453,345Natural Gas left (boe)
56,748Days to the end of natural gas"
59,"We banned gas production! No more pollution! Hurrah!

The same gas that heats people's homes. The same oil that makes fertilizer. The same oil that transports food to the markets.

Thankfully, there's no way that this time there could be any possible negative effects."
60,"In the end, tens of millions dead later, the communists bought a couple hundred thousand sparrows from the USSR.

And today our great and glorious leftist leaders have decided to prevent pollution by preventing oil and gas production without thinking of higher order effects."
61,"The left's banning and undermining of oil and gas production is strongly reminiscent of the 4 Pests Campaign and has a good chance of having similar results.

The 4PC was implemented by Mao during the Freat Leap Forward, and was intent on eliminating pests."
62,"Imprisoned for taking direct action to highlight the climate crisis

The people who should be in prison are those that continue to license the new oil &amp; gas which endangers our common future https://t.co/IRJqWYoAnX"
63,Some stoves are oil burners; others are gas burners https://t.co/n9bSJall3H
64,"#羞辱 #裸聊 #做爱 #连麦 #萝莉 #丝袜 #巨乳 #白虎 https://t.co/4CZ6BYP7nT
Against grow common subject oil gas."
65,"The leadership must change to reflect genuine interest in dealing with issues that the people want solved.  Immigration, inflation/economy and energy power plants and production of oil/gas etc. https://t.co/r0XQ2OtfWe"
66,"It’s true that fracking &amp; other oil &amp; gas activities can cause earthquakes.
It’s also true that solar &amp; wind energy do NOT cause earthquakes.

“What Caused Alberta's Record Quake? Check Drilling, Experts
 Say” via @TheTyee https://t.co/IBqShjRNHG"
67,@CupeAB Weird. Oil and gas companies left Alberta way before this..
68,Ukraine blasts BP boss over stake in Russian oil and gas giant Rosneft https://t.co/Uq4oHehhrX
69,Ukraine blasts BP boss over stake in Russian oil and gas giant Rosneft https://t.co/5X5zLpz9uQ
70,"@PierrePoilievre You mean to say: Oil and gas profits are up, massively."
71,Ukraine blasts BP boss over stake in Russian oil and gas giant Rosneft https://t.co/EQAJfSEgUI
72,Ukraine blasts BP boss over stake in Russian oil and gas giant Rosneft https://t.co/Wpk102k0rg
73,"@Ridiculoustrum1 @JuRobz @thorstenbenner TBH I think you are terribly naïve,  like Nordstream / gas &amp; oil Germans wanted to keep the gravy train rolling, they knew their govt would back them.  Ukraine wasnt a surprise, its 2 decades of feeding corruption at an epic scale."
74,"@salvadordalius @vonderleyen It is free market. EU can buy oil from US, one thing sure, Russia will not sell oil &amp; gas to EU at discounted price."
75,"@Beast_Keeper @RachelNotley Oil &amp; Gas Industry is already dead. Only thing is the grave hasn't been filled in yet. The Paris Accord takes place Jan 1st 2030, the grave will be filled by then. Don't blame the government, blame the last 70 years of destroying the enviorment"
76,"@Ercin15 @Mustafa88531501 @mutludc We are still waiting, for you to have a capable Air Force, for you to have submarines, for you to find gas and oil, for you to finish dinner, for you to decide, who’ll meet his/her lord first. Need I continue? Cope.."
77,"@scot_isz @ddgerblu @PLM1954 @jasonselvig So if you can comprehend geopolitical events and their relationship with such things as the price of oil barrels, why are you f’n whining about gas prices and trying to pin it on an American political party?"
78,"45,699,853- from renewable sources (MWh)
1,901,554,669,160Solar energy striking Earth today (MWh)
62,241,517Oil pumped today (barrels)
1,419,460,478,344Oil left (barrels)
14,803Days to the end of oil (~41 years)
1,078,220,495,816Natural Gas left (boe)"
79,"Snubbed by Canada, Germany goes all-in with autocratic Qatar for its gas - National Post A HUGE chance for Canadas oil and gas sector and to strengthen ties, but noooo our little dictator has decided his Legacy projects are more important, unbelievable  https://t.co/nXJfNwUNNg"
80,Could never date someone who works in oil and gas.
81,@a_CDN_in_AB @cspotweet Notley got nothing approved by the feds. What’s more she worked to block and destroy AB oil and gas industry.
82,@POTUS Funny how us gas /oil workers are still out of a job!!!
83,@AZgeopolitics They were going to stop importing Russian oil by the end of the year. But guess what? They still import Russian oil and gas and pay in rubles. https://t.co/VzGdiml2p5
84,"@thenorthrmembrs @JonDall16651771 @DarrenACarlson @GovInslee The President told U.S. oil/gas/coal businesses he was going to shut them down.  But, these businesses have a duty to their stake-holders to maximize profit. Like all other businesses, prices are dictated by competition &amp; the laws of supply &amp; demand!  Drill baby Drill!!"
85,"They control the most lucrative  corporations. They're tanking the best generating financial income WE have (oil&amp;gas) by forcing small businesses out of operation, demanding heavy stranglehold mandates that only the extremely rich can afford. They take that business &amp; regulate it"
86,"@GrogsGamut Coal ash is used to replace cement in concrete products.  Cement production is one of the highest emitters of CO2 but not as much as oil. 
Cement sequesters carbon dioxide in its cure.
There appears a convenient ignorance of the efficiency of coal
Gas is less efficient than wood"
87,@PeterDClack https://t.co/JBQVpa6ujX
88,"#世界杯  https://t.co/BYCSpCgXqk
Program military campaign sea what government oil gas.
😍👌😝😄💌"
89,"At a time when we’re seeing such a change in our climate, to try to expand whole new areas for oil and gas is not the direction or the vision that we have for Cook Inlet #NoNewLeases #ProtectLowerCookInlet https://t.co/jnDmwDzQaR"
90,"@POTUS’ BIDENOMICS: the strongest midterm economics in US history:
1. Wages rising &gt;inflation 
2. Gas and Oil price at pre Putin’s GENOCIDE level
3. Job market booming + strong spending 
4. Inflation slowing 
5. Slower interest rate hikes
A dream scenario 
#Democrat #JoeBiden"
91,"The head of the largest oil and natural gas assoc. warned that failure to replenish the U.S.Petroleum Reserve could trigger another oil crisis in the coming weeks.

The SPR has become the strategic political reserve. And we have grave concerns .over this. https://t.co/QoxULrdG9V"
92,Check out Mr Global's video! Recognized Oil and Gas Industry expert. I guarantee you’ll learn something. #TikTok https://t.co/EdQZ8K94Uf
93,@Maks_NAFO_FELLA This is extortion. Let us move our oil and gas through your country and we won't blow up the plant.
94,"So I take it you are going ""police"" ending the licencing of new Oil and Gas exploration and mining, and help to reduce our national carbon footprint?👇 https://t.co/1fMVqho2bh"
95,"@POTUS Really? You have basically decimated our oil and gas production here. However, let’s make sure to elevate Venezuelan oil and gas production. You sir are so wrong it’s unfathomable."
96,@RileyMooreWV Venezuelan oil is full of sulpher so it has to be cleaned at a very high price.American production of natural gas&amp;oil is the cleanest in the world. But you can't tell that to Joe.He thinks if we don't produce it it lowers carbon footprint.Except it really doesn't it just moves it
97,@AELB1337 What do you mean by long oil and gas? How long is long?
98,"To fight the climate crisis, we need to stop expanding offshore drilling for oil and gas https://t.co/lwJgfSQ8Nh via @ConversationCA"
99,'Network' now looks less like prescient anticipation of the future (which it surely was) and even more like unvarnished documentary covering our current #dystopia. Read: Mad as Hell https://t.co/nW2GstQvlX #oil #gas #russian #energy #inflation #network https://t.co/cwULPBk9Of
100,@michaelpierse Is she going to start sending us money for gas and oil to fund our occupation too?
101,@AnneMarieStan13 @GuidoFawkes No they're not. They have a separate corporation tax rate to other companies on oil and gas production in the UK. They're making billions because they're global companies. They aren't making billions in the UK. The UK cannot tax oil and gas production in another country.
102,"""Pennsylvania Adds New Royalty Payment Reporting Requirements and Deadlines for Unconventional Oil and Gas"" @Steptoe_Johnson #Pennsylvania #Energy #Resources https://t.co/H3xen8AvES https://t.co/fQj16MZPUo"
103,"Las formaciones de shale recién descubiertas en el yacimiento de Qijiang, cuentan con 145.968 millones de metros cúbicos de reservas probadas https://t.co/ikYTPfqwlS

#shale #OilandGas #Noticias #petroleo #shalegas #Sinopec #china https://t.co/GFOFIppRTe"
104,@realtorsandyk @JoeBiden He must be talking about the good solar collector jobs that don’t exist when he caused thousands of good paying oil and gas workers their awesome paying jobs!?!?
105,New post: Oil &amp; Gas https://t.co/Qa644ORnZD #crudeoilfutures #naturalgasfu
106,Oil and Gas Revenue Specialist https://t.co/Fwammt9R7z
107,"@mwisnefske @washingtonpost I personally don't buy the climate fear, but if it's because of humans putting more carbon in the air, and more human pump out more carbon, how is that not bad for the climate?
If coals oil, and gas are hurting the planet so much, why are we shutting down nuclear plants?"
108,@PaulLaneMHA @nationalpost I have always said that as long as the world needs oil and gas let's do it right here at home in our Newfoundland and Labradors low carbon offshore oil and gas industry 🛢⛽️= thousands of local jobs and billions in royalties for our government🇨🇦🇨🇦🇨🇦
109,@larrouturou @TotalEnergies @MariaArenaEU @katka_cseh @galleerie @stopEACOP @amisdelaterre @350France @ReclaimFinance @makesense @greenpeacefr @CamilleEtienne_ I personally met this man @larrouturou in Uganda;He had a racist condescending tone.He looked in my eyes and suggest that Uganda&amp; Tanzania leave thier oil &amp;gas underground and he would mobilize Europe to pay us for not exploring our resources!Imagine in 2022!
110,"@Oilfield_Rando I have spent the last 10 years working in energy…which includes oil/gas, wind, solar, hydroelectric, you name it.

It’s unfuckingbelievable how much of a boondoggle this “renewable” stuff is 😂

As you’ve mentioned, it’s impossible without oil.  And, it’s 100x as expensive."
111,@JDCocchiarella Funny how they went down after mid terms. Way to go oil companies you played that just the way you wanted dummies blaming Biden for high gas prices so don't vote for dems
112,"@JustinD02575239 @KarenPo90025710 @CJ43860978 @ericareport Check your facts. Keystone pipeline remains up and running. And the XL extension would have sent most of the increased oil overseas, not to our gas pumps."
113,"Winter is a great time to use Vortex paraffin mitigation tools for your oil and gas flowlines:

https://t.co/ftww3ikoeA

#oil #natgas #oilgas #paraffin"
114,Legal pushback on Labor’s oil and gas plans | The Saturday Paper https://t.co/jVKCF9X0sp
115,"...We’re at 100 million today. Unfortunately, if you don’t invest in the oil industry, by then the supply would be 27. So when we talk about a just transition, we have to remember that there are places around the world that have tremendous oil and gas resources...."
116,"@JDCocchiarella He gets credit when it gets around $2.50 or so. He has a large amount of pressure he can apply to the prices. Like stop being hostile to oil and gas, allow more drilling and pipelines, etc"
117,@SenatorLujan @SenJohnBarrasso @USDA @Interior @CommerceGov Why don’t you worry about our states natural resources like oil and gas. The permitting is delaying our progress.
118,@BBCWorld A natural start to moving from oil/gas products to solar/wind/wave is to focus a ban on all Russian petroleum.  Watch how fast their economy collapses.
119,@AliceFromQueens never be enough for democrats to admit that Hunter was being paid for dad's influence and not for his own expertise in oil or gas.
120,"@Bruh_Its_Egg @inerati Oil and gas are important feed stock to the chemical industry. Burning them for energy is stupid and wasteful, especially when we have better alternative: nuclear."
121,Y ask stupid questions https://t.co/rINasKGCxL https://t.co/navMrwh8sX
122,"@SenJohnKennedy Energy 101 Grandpa.
Oil and gas put us in a major recession back in the 80's because Saudi Arabia was pissed when we supported Israel. They cut production now because they are pissed again. Renewables will end this dependency. But we will still need oil and gas too."
123,"@WhiteHouse Re lower gas prices: there goes the oil reserves, and with it, National security. Shame taking credit for a problem the POTUS created."
124,https://t.co/6oaOntlGyc https://t.co/YcZ0lf92yJ
125,"@ml_maccarone Por lo pronto devolvió el control de YPF al estado Argentino. Nuestro país no tenía la tecnología para extraer gas y el petróleo de fracking que se explota en de Vaca Muerta, ¿qué hubiera hecho Perón? No lo sé, en el 55 firmó un acuerdo con California Oil"
126,@JDCocchiarella Bet you the price of gas goes back up along with oil because he's draining the strategic petroleum reserves and limiting production here in the US! Price caps do not work as California ISO during the 2003 energy crisis!
127,@cpalimeno @elonmusk Haha shut up your liberalism literally sucks ass I’d way rather have trump more oil &amp;gas than the carnies like Nancy &amp; Biden and #TrudeauDestroyingCanada
128,"@diverdown69261 @GriewskiDeb @accretionist @JDCocchiarella Not only are over 9000 Wells not being tapped by the oil companies, the Dumpf admin approved the sale of the  largest gas refinery in the USA (in Port Arthur, TX) to Aramsco, the Saudi Oil Company."
129,"@RachelNotley 🤡You helped Trudeau kill the Oil &amp; Gas Industry that was headquartered in Calgary, what the hell did you expect would happen!"
130,@birdboy2000 @colinkalmbacher @srinu130894 @badler @JonahFurman @LindseyBoylan I realize what you are saying. &amp; who is going to be blamed? It won’t be the workers who are screwed. The Rs would not vote for sick days &amp; will deflect to potus. Just like the gas prices while oil companies made record profits. Rs usually hands off for business &amp; labor.
131,"Ms. Notely you are anti energy, anti Alberta oil &amp; gas, how do you plan to fill those offices? With Wind generation companies, or Solar energy producers or welfare residences? What ever you would dream up will cost us money!
I can see why Trudeau/Singh loves you! Your WEF shows! https://t.co/sWuMI9hRGN"
132,@StillTrumpGirl @Gussied71 Just like the libtard fringe to feel the need to recreate something we already have. Just like oil and gas. We REALLY Don`t need to use farmland to make ethanol. But once again they abandoned the natural order. Just like mental health and gender issues. The left the left the left
133,"The Chartmaster on what&amp;#39;s next ...

https://t.co/Kp6vaVzN5U

#BreakingNews #BusinessNews #Cable #CableNews #CNBC #FastMoney #FinanceNews #FinanceStock #FinancialNews #Gas #Mining #Money #MoneyTips #NewsChannel #NewsStation #OilPrices #StockMarket #StockMarketNews https://t.co/cIQBwUGfpG"
134,@KingBeevr @TalesTucson @LCDLAW1 When gas was cheap means the price per barrel was cheap. Geez you don't understand anything. Cheap gas means cheap oil. I sent you the link to the archives that has all the information in plain English. Read it.
135,"#世界杯  #开云体育  #火狐体育  https://t.co/kqr7bciimk
My clearly gas government teach oil remain.
💋😍😄👌😆"
136,"@PaulLaneMHA @nationalpost Canada’s inability to freely export oil &amp; gas, which are among its most lucrative natural resources, is hurting this province, the country and a free world that needs/demands it. Even the US is turning to Venezuela for oil and not Canada. We are not a dependable trading partner."
137,@freethought777 @nypost Russian barbarians are fortunately so stupid they based their whole economy on oil &amp; gas. They'll be starving from economic repercussions of their primitive economy in next decades.
138,"Profits in 15 sectors, including oil and gas, driving bulk of inflation: report https://t.co/0zANSJqLPI https://t.co/pqcVEXGzp6"
139,"@RobertHefnerV @ClimateDepot Coal, oil, gas and nuclear. Renewables are blowing the cost of energy thru the roof"
140,"@PeZzy @nationalpost But no Germany is not moving away from LNG or even oil anytime soon. They dismantled their nuclear infrastructures and don't have much choice. If you read the article, Germany is the one asking for our gas because Russia is no viable long term solution as they just found out."
141,Los Angeles City Council votes to ban oil and gas drilling  https://t.co/VrXgFH0ugB
142,"The oil industry is recording record profits. The least they can do is fill the Strategic Petroleum Reserve back up since it was drawn down to keep gas prices down.

@SenMarkey @SenWarren @RepPressley @RepRichardNeal @RepMcGovern @RepLoriTrahan @RepSethMoulton @RepStephenLynch"
143,Canada first. We have and should own our resources. We should have cheap oil and gas for all Canadians. Then export it. https://t.co/GqJ8sAqdwB
144,"OMG it so effin cold today, thank God for the oil and gas sector for producing the diesel for the bus im riding, and a big thanks for the gas heating my house keeping the fam and I warm, go OnG go!!"
145,"@Animal_graphics @midnightriderV2 The port  of Churchill would be perfect, the oil and gas could flow. Alberta, Saskatchewan and Manitoba would be a power house of energy."
146,"@ybarrap Lots of oil &amp; gas jobs in those states, but I don’t know heat the story is with Maine."
147,"@voluntee01 I use Diesel Brandon knows all trains, semi’s and a hell of a lot of trucks only run in Diesel so it’s over $5, the other Fact is diesel is a by product of gas , just like kerosene. Easy money for the oil companies"
148,"@hshierholz @ddayen I see your figures and raise you three more because there is hope on the horizon.

Jobs have increased at a HISTORIC rate since the Biden Administration took over. See chart.

News today: Russian Oil capped at $60 per barrel - lowering inflation &amp; reducing price of gas at pump https://t.co/2FfhaBAcb0"
149,"@GavinNewsom @GOP Great to call the other corporate team out but what about some concrete actions on cutting emissions 50% NOW to save a livable world?  You're the governor.  Stop oil/gas leases.  Incentives for solar that don't go to power companies.

#ClimateAction 
#DoSomethingGavin"
150,"@vonderleyen sancties tegen Rusland betekend 25% minder olie naar Rotterdam, betekend massa ontslagen, en 72% minder Russisch gas!

Deze gigantische tekorten worden niet aangevuld, Amerika levert géén LNG meer, en Midden Oosten solidair met Rusland! 
https://t.co/KMXSxdR2wT"
151,"@TheRealKeean Here in the US, heavily armed guards use rubber bullets and tear gas to fend off peaceful native Americans who protest against oil pipelines running through their sacred lands."
152,"https://t.co/WdmOo6TbBn 

For this winter, Europe’s gas storage is more than 90% full, according to the International Energy Agency, providing some assurance against a major shortage.
But a large proportion of that is made up of Russian gas imported in previous months, which like"
153,"@RepJeffries Your lot are the national nightmare and we're all living it -  crime, no baby formula, $4 gas, no heating oil etc"
154,Cities on the frontlines of taking action on the #SDGs: @LACity votes to phase out new oil &amp; gas extraction. #SDGLeadershipCities @bromagerin https://t.co/jPvNBylYii
155,@arpotu @RepTroyNehls Too many people chasing too few goods &amp; gas &amp; heating oil.Too much printed money by the govt. The very cause of inflation.&amp; high prices of goods. You need to decrease demand by slowing the money &amp; purchasing power and with 230th illegal immigrants every mth that won't happen
156,"Canada needs to get serious about training skilled labour for our strategic interests.

TC Energy wins approval for NGTL pipeline expansion but shares slide | Financial Post https://t.co/VGoPgC9L16"
157,"Dutch PM: Not possible for Europe to cut off Russian oil  ...https://t.co/4WsZS9KcxT › business › energy › dutch-pm-...

Mar 9, 2022 — PARIS, March 9 (Reuters) - Dutch Prime Minister Mark Rutte said on Wednesday he was not in favour of cutting off Russian oil and gas https://t.co/FxGMs9uxnC"
158,@tedcruz I have called for Hollywood to be heavily regulated.  The harm caused by its negative externalities far exceeds the harm caused by the oil and gas industry.
159,@RBReich All industries or just oil and gas?
160,@JKempEnergy What cap?  Think India announced it will continue buying their oil and gas.  Does EU have jurisdiction over India?  How does that work?
161,@pancholi_rakhi Remember when @RachelNotley protested oil and gas pipeline? She herself has destroyed Albertans livelihood. She scared away Future investments in Alberta economy.  She had her chance and failed. #pleaseresignrachelnotley
162,"@karlnehammer @kmitsotakis Well,if Austrians cancelor would stand neutral as the Austrian law says, we could buy cheep gas, oil, petrol from Russia! We love Russia!
We don't need expensive gas from other countries! 
As grazy Charly doesn't know how to manage this simple exercise! We need a new cancelor!😁"
