,2022-12-01
18,"@FoxNews Another example of him and his administration lying! He has done more than any President - tragic failed exit from Afghanistan, record inflation, destroying our gas and oil industry, weaponizing the Justice department, ……"
19,@SenJohnKennedy https://t.co/SnF4dpnTIc
20,REVEALED: 78% of woke ESG funds that Biden wants 401(k)s to invest in UNDERPERFORMED by 15% in first half of this year due to investments in failing tech firms and shunning of soaring oil and gas
21,"After working a 14 hour day on an oil &amp; natural gas well revenue analysis for a client acquisition while working a small ERP transition, I wanted to reward myself with ritas and fajitas 😎 https://t.co/uf5YrjVMZ6"
22,"@CTVCalgary Calgary’s new mayor says first order of business to declare ‘climate emergency’, ‘move past’ oil and gas.
What is she, a mayor or a PM? Can't tell the difference these days."
23,@HarleyH84248736 @oamaz7 @Qatari And you think Germany is gaining nothing from those immigrants? How do you think the government makes money? Oil? Gold? Gas.. (oh wait u don’t have that). The reality means more migrants means more money. That’s how the world works. Wake up dummy
24,@SenJohnKennedy Or….. oil and gas companies are making are making their highest profits ever.  I think you know the right answer but you continue to want your base to believe your nonsense.
25,"@SenJohnKennedy Yes, high oil prices add to inflation. 

Why did you vote against the anti-price gouging bill? 

That would have lowered gas prices and inflation.  Now you blame others

Pathetic"
26,@JesseKellyDC @RitaPanahi ESG is a fucking diabolical plot to destroy big oil and gas. The WEF should be publicly ostracized. Perhaps a good old tarring and feathering. Times square would be perfect. Klaus Schwab could be first.
27,Good news. I didn't go over my budget. Instead I went $20 under the budget. But I need about $20. Plus gas money for the car. However that might leave me with $30 for two little girls and a dog and a cat. That's the bad news. And I got olive oil on my clothes today.
28,"@PeteButtigieg thanks for being a coward, for not taking a stand, for saying baby formula, when you know damn well, it's the oil and the waste products and coal, and you weren't willing to deal with someone saying GAS IS HIGH right around xmas, grow up nobody believes you."
29,@CobaltKitsune @GmorkOfNothing Gas production is still strong and there is still oil production. The fields are quite old and have been played for over 200 years.
30,"@SenJohnKennedy Wait, what? But we're producing more oil than before, oil is around $77.00 to $86.00 a barrel, gas prices are down. Looks like things are improving."
31,"@RachelNotley Her policies are driving business toward Alberta! No business wants left wing, Communist governments. Bring back the oil and gas…the world need it now (due to west’s stupid decisions on Russia)"
32,"@DwaynePeters01 Go back and look at that chart. See where the huge job losses in the Texas oil and gas industry happened. 

Hint: 2016-20. When Trump was in power."
33,@RepGarretGraves Putin is reponsible for high oil and gas prices in US.
34,@RobertR89587059 @snowphieee @jeff_kauffeldt @CTVNews Are you telling me the oil and gas industry hasn’t been a major revenue contributor to Canada over the decades? It’s kind of a big thing alberta does
35,"@Thea_uit_Buren @FoxNews But the country was in good shape under Trump.  Do u like the high grocery prices, gas and oil now?  I don't."
36,"The AAA announced Thursday that gas prices in Arkansas are at the lowest price since January.
https://t.co/cbkbCslJHl | #arnews https://t.co/1JS0mejviJ"
37,"Gas prices are falling like like a stone, as I predicted, right after the election. They were being artificially  jacked up to help the Republicans. No wonder the Republicans were whining about @POTUS dipping into the federal oil reserve.
Well played,  Sir."
38,"Has anyone asked the question ""why now?""  
The restrictions being placed by the federal government in regard to Alberta oil and gas. This has been an ongoing dance for years (argue and make-up, repeat) But the feds made it a real issue this time with Alberta actions
#unitedcanada"
39,@happyfinko @RachelNotley @ABDanielleSmith Time to cut Quebec OFF they dont like oil or gas anyways its dirty money you know
40,"When you have a relatively small population,  the only way you can seriously sabotage the climate is to sell your oil, gas and forests to the people who can do the job for you:

""Canada accused of putting its timber trade ahead of global environment""

https://t.co/vUiv8hRq9p"
41,https://t.co/xfv3BcNXrO
42,"@Teletekst Trouble ahead for EU. Oil price caps, gas shortages, sky high LNG prices and refugees
https://t.co/VaWn4piJGW

The Duran
November 24, 2022

#JanetYellen
#UK #US #Norway 
#Russia #India #China #Turkey
#blackouts #Qatar https://t.co/puzSG7XNHj"
43,"@koratcatsrule @Borntobleed22 @JohnVinczencz @mat_schmaltz @PierrePoilievre Not when you include the amount of methane released from oil &amp; gas sites.

It can be similar to coal in greenhouse gases, which is kinda ironic.

We should know more in the coming year with the new satellite, but it looks like they underestimated a lot."
44,"@NOS Trouble ahead for EU. Oil price caps, gas shortages, sky high LNG prices and refugees
https://t.co/VaWn4piJGW

The Duran
November 24, 2022

#JanetYellen
#UK #US #Norway 
#Russia #India #China #Turkey
#blackouts #Qatar https://t.co/mUDPg44UjX"
45,@bingfair2 it's called Strategic oil reserves for a reason and it's not to make fake gas price's
46,@coptin11 @GeraldKutney FYI those were the 600+ oil and gas lobbyists
47,"@JoeBiden Liar!!! How about all the Jobs lost to your Banning Fossil Fuels? What about all those lost payroll taxes? Why do you allow Drilling in Venezuela,but not the United States? Especially when we have cleaner Oil and Gas? 
I will tell you why?
JOE BIDEN IS A SELL OUT!"
48,@Saorsawhimsy @Captaincoby00 All oil and gas. They don't seem to have room for anything else .
49,"I been learning so much about oil and gas, manufacturing, production, supply chain management, OSHA, content production, editorial writing, getting PR training and so much more.. 

I’m really a sponge right now and it feels so good to be challenged everyday at work."
50,"United States Jobs Hiring For :
Lease Operator - Diversified Energy Company | HIREDINNY
Apply Jobs =&gt; https://t.co/aOD0oCDnt5

Lease Operator COMPANY PROFILE: Diversified Gas &amp; Oil Corporation (DGOC) is an established owner and operator of producing conventional and unconventio…"
51,"AODITECK Marine Fuel Level Gauge for Boat Gas Tank Car Truck Vehicles RV Oil Universal Automotive Replacement Gauge Aftermark DKFTXFE

https://t.co/KyX2FjmCjH"
52,"AMERICA HAS LITTLE TO OFFER THE WORLD... 

BUT ENDESS WAR, WEAPONS SALES, &amp; MASS MURDER... 

COLOSSAL DEBT, USURY, &amp; INFLATION... 

BIG OIL &amp; GAS AND A PLANET IN CRISIS. 

THIS IS AMERICA'S LEGACY: ALONG W/ SYSTEMIC HOMOPHOBIA, RACISM, &amp; MISOGYNY. 

#NICE https://t.co/LAd6B6D6Hf"
53,"What is cooking gas?
Since cooking gas used in gas bottles is LPG (propane) &amp; not some other gas, cooking gas is created using the LPG gas production process that takes place during the processing of natural gas &amp; the refining of oil. Natural gas can be used to make cooking gas. https://t.co/1oi2ZCTbb7"
54,"For the second time, oil companies raised the retail prices of liquefied petroleum gas products for December. /PDI https://t.co/1sWkyyzNrS"
55,https://t.co/Y0yEc6dmRf
56,"@GovNuclear Nuclear energy is a low-carbon, baseload electricity source that produces no greenhouse gas emissions during operation. 

It is the largest source of low-carbon electricity we have. 

Nuclear power plants also play an essential role in reducing reliance on imported oil and gas."
57,@Wolfpak561 @dbongino Gas prices are down because that bumbling idiot is taking oil from our strategic reserve. Wait til that runs low!!!
58,"Why do people who don’t want an Alberta rich in farmland, sovereignty, oil, gas and prosperity not just move to Ottawa? The weather is better, what are they still doing here?"
59,"@WSJopinion If Chevron sells Venezuela oil, I will stop buying Chevron and urge everyone else do the same.  Buy your gas from companies that don’t support our enemies."
60,"@jason_howerton @GregAbbott_TX Texas is a one-trick pony. No oil n' gas, no Texas. No wonder."
61,"@SenJohnKennedy It is not just gas, many products are made from oil.
DRILL BABY DRILL"
62,"@DwaynePeters01 Yes, because you don't seem to appreciate that there is no encroachment on Alberta's jurisdiction when it comes to oil and gas. 

Which is the whole point here: the Sovereignty Act will do NOTHING to change the reality of the energy transition. Clear?"
63,More #CBC nonsense funded by the #Liberals. Just false. Actually a good case could be made for the opposite. N.Gas +liquid’s +Oil +Fertilizers etc could lead to very large independent profits. https://t.co/mlAcQojE3G
64,@RyoMaxi @Qatari The same people who buys Qatari oil and gas!
65,@JoeBiden Dude ! Have you heard feds are raising rates along with food and gas prices ? Have they told you interest rates as high as oil now ? Nothing to do with you freak
66,@FloraLan10 @PierrePoilievre public sector jobs that produce no corresponding GDP. Economic recovery fueled by the hated oil and gas sector
67,"BTW, if the government had subsidized La like they do states such as North Dakota for absolutely wrecking their land in order for oil and gas, Louisiana would be one of the richest states in the nation."
68,"@nishat1_reza @Ukraine66251776 Like they use to and have done many times before? Going after the oil and gas, or gold in the name of democracy!"
69,"@SenJohnKennedy @SenJohnKennedy = corporate whore shielding oil companies' greed and price gouging

https://t.co/2KZygI83Gx"
70,"@olivernmoody Germany wants that sweet, sweet Russian oil and gas"
71,"REVEALED: 78% of woke ESG funds that Biden wants 401(k)s to invest in UNDERPERFORMED by 15% in first half of this year due to investments in failing tech firms and shunning of soaring oil and gas 
via https://t.co/k1hvUi5Rv2 https://t.co/B7q8wfhctX"
72,"#auspol SO THIS IS WHAT AUSTRALIA WANTS TO DO TO OUR COUNTRY EH....... no new permits now, NO NEW GAS WELLS , NO NEW OIL WELLS WE HAVE ENOUGH DON'T YOU THINK see map https://t.co/9ZAAeZxl8j"
73,"@SenJohnKennedy Note to self: find out where John buys honey buns and avoid them like the plague… apparently they’re made from gas/oil, do not eat them!"
74,"@tedcruz You did NOTHING when gas prices surged! You voted against consumer protections, and oil companies take in record billions in profit. THAT put this nation on the edge of fiscal “catastrophe” and is one of the main drivers of inflation. You use everything and twist it, ass hat"
75,@Dr_NoDaysOff @davidhogg111 Sounds like your topic. Perfection does tend to slip away from our grasp. I am mad about all oil/gas leases they wanted to sell.
76,@gerardmcmahon86 It’s narrowing within context of Scotland in a UK that’s raking in £80Bn in oil &amp; gas revenues.
77,"https://t.co/xM4d0IL3kq  In the real world, oil isn’t dead, natural gas isn’t dead and the future belongs to nations that can produce them efficiently...That can be Canada’s future, if we stop pursuing policies that cut our own economic throats."
78,"thanks to a student’s research project, i now know “oil and gas investor weekly” is a magazine that exists"
79,@BuzzPatterson I guess you haven’t noticed that oil is now near $80/barrel. And that in some states gas is below $3.00/gallon. https://t.co/L4twt2JBVQ
80,"@RishiSunak I'm the public &amp; I disagree, the public I know have had enough of profiteering politicians in the pockets of the fossil fuel industry. XR, Insulate Britain &amp; Just Stop Oil are right, no new oil &amp; gas licences, get the country insulated, solar &amp; heat pumps on every newbuild etc"
81,"@PhysicalStamina @RyanGilly95 @ExiledAstrix4 @iss_zaba @Alexmitton10 @Qatari @thfckei It is too early to talk about this. The uses of oil and gas are involved in many things. It is true that the transportation sector consumes half of the global production of oil, specifically cars, but there are still sectors that depend on oil."
82,"@realMAGAMAFIA Me too. I've now since tried to leave the cuss words out of my treats as much as possible or at least used in a hostile manner. I've just worked an oil natural gas for 16 years, until Biden changed the policy, so I tend to have a colorful way of responding to people."
83,#supplychainleaders #transport #logistics #supplychain #ports #manutention #oil #gas #shipping #transit https://t.co/AS04KwCWPw
84,"@JustStop_Oil You guys are complete fools!!!
Step 1 is not to stop oil and gas production or even to reduce it. There’s no technology to replace it yet!! We need more energy, not less. Oil &amp; gas is all we currently have. The ONLY other option currently is nuclear! ARE YOU GUYS THE WEF???"
85,@BidensWins Well he has quadrupled inflation....about time we get some small relief.  Once he stopped depleting our oil reserves to artificially bring down gas prices.  Gas prices will go right back up and the US will be vulnerable to attack.  Biden sucks!
86,"@PhantomPower14 @indyscot12 Scotland will be a massively rich European powerhouse when it becomes an independent country , think 
Republic of Ireland with massive oil ,gas and wind power . 
Growth would be like the far East 
I don’t know how the people of Scotland don’t understand this"
87,@LaniMil07904322 @EllenFr00318593 @ksorbs You really don’t see it? It was NEVER going to pass. It was laughable legislation that is moronically unconstitutional. Then he used emergency oil to bring down gas prices. All so boot lickers like you would vote blue in the mid terms. Gotta hand it to em’ it definitely paid off
88,"California is the seventh largest producer of oil in the United States. A recent study by @PhySciEng found 1,029 spills of oil and gas wastewater - known as produced water - were reported between 2006-2020. #waterquality https://t.co/SYKicP1Mog https://t.co/RJOEgVAHSP"
89,"@Captaincoby00 The Cons have supported Alberta way of life. Oil and gas is a big one. Efforts to reduce our footprint, is a threat to that culture. It has afforded them a great life. Some don’t know how to reprogram to do something else. Why can’t there be a good medium to resolve this."
90,@_Peace_Love_US How about Biden pardoning that murderer that killed the reporter just to get oil from a regime to make gas prices go down to look good before the holidays
91,"@SDonziger @Chevron BOTHERSOME, SHAMEFUL…YOU LIVE AND DIE BY A WAR OF TERROR FOR DAILY COMMERCE WHICH SPILLS THE SACRED BLOOD OF OUR PAT TILLMANS &amp; SCHOOL CHILDREN…ALL TO CATER TO THE WHIMS OF BIG OIL PUMPING OIL/GAS TO CHINA/INDIA, THE WORLD.

YOU…ARE BOTHERSOME AND SHAMEFUL

REPENT TERROR HELL."
92,"@Doc_0 This entire argument is stupid on so many fronts. Here’s a few:

- pretends oil isn’t substantially subsidized
- pretends costs won’t come down
- ignores *any* and *all* environmental impacts of oil and gas
- acts like inequality is something that doesn’t already impact travel"
93,"“It’s unscrupulous what they're doing, and it's misleading.” California canvassers are telling voters their signature will help safeguard communities from oil and gas operations when in fact it would do the opposite.

https://t.co/u4drsJwmiA"
94,REVEALED: 78% of woke ESG funds that Biden wants 401(k)s to invest in UNDERPERFORMED by 15% in first half of this year due to investments in failing tech firms and shunning of soaring oil and gas https://t.co/05GuVX4FBN
95,"@DayinMLB @OneMurphy @ReallyAmerican1 The moment Biden declared war on the fossil fuel industry, it sent a ripple through the oil and gas markets. Costs inflated and that impacted shipping and manufacturing costs tremendously. Then Biden pumped all that money into the system, even though the pandemic was waning."
96,@SenJohnKennedy Gas prices are dropping; Texas oil prices have dropped to $77/barrel.
97,"@SenTedCruz Ted Cruz:
❌Doesn't speak Ukrainian
❌Knows nothing about oil or natural gas
✅Net worth in 2012 = $2.3M; 2018 = ~$8M on a $174K/year Senate salary"
98,High Costs Of Gasoline Worked For Big Oil And Our Election! #BlameBiden #RepublicanDirtyTricks #HurtGreatEconomy https://t.co/7RiwsAZEMD
99,"@DE_Gifford I thought gas stations would get into    charging like in the EU...Oh
They required oil companies to provide charging stations unlike here.."
100,"At our State of the Industry last week, we announced our 2023 drilling forecast. We forecast 6,409 oil and gas wells will be drilled next year. We also estimate a total of 42,350 direct and indirect jobs. https://t.co/nAQcg9iO2a"
101,"@jannarden Hah. Don't hear you wailing about the oil and gas jobs that disappear thanks to dopey green policies. Those are real jobs, not 2 weeks on a set."
102,"Oil and gas industry supports Herschel Walker, but has not ‘heavily funded’ his campaign https://t.co/7O4AAo61lw"
103,"@IreneVelezT, NO ES POR SER MUJER, ES POR SER CAPAZ!!!! la integridad y conocimiento, árbitro de fútbol, oil&amp;gas... Burra mentirosa.. https://t.co/Knt0DG71rD"
104,"@POTUS Heating oil, Gas, Diesel, Food all the prices are up. Oh and we are running out of Diesel for things like the trucks and trains the deliver goods. 
Yep Good Job Joe💩"
105,"@avasmentek7 @The_Garth_Vader @WhiteHouse Keystone connected western Canada to the US. And cancelling it signals to the industry and investors that oil and gas faces tough regulation and even shutdown. So money dries up! He is doing all he can to destroy it, not help it!"
106,Boone Pickens’ sprawling West Texas ranch sells to a group led by oil-and-gas investor https://t.co/660KnFGsVc
107,"@jrex62 @r1tch2e THIS BITCH IS TALKING S**T.  MONEY CAN BE FOUND BY FINDING THE BILLIONS MAGICED AWAY FOR TRACK AND TRACE AND PPE SCANDAL.
TAXING MEGA RICH OIL, GAS, AIRLINES AND BANKS.
OUR NHS NEEDS FIXING NOW, NOT NEXT YEAR.  
FIND IT YOU CORRUPT PEOPLE.
LABOUR ARE A F*****G JOKE."
108,@RepJayapal It was an election day miracle the way gas went down over a dollar a gallon within 3 weeks of the election! It's almost like the gas &amp; oil industry were keeping prices artificially higher in hope of impacting the election and hurting President Biden &amp; Dems...🤔
109,"@erica_wenger @sevensevensix Aren’t we glad that those $$ are going towards alternatives to oil and gas though? Do we expect O&amp;G companies to just give up, or invest in the future?

IMO, some of the best folks to build the hardware of the energy future are the companies who have been doing it for years…"
110,"@poloandsons @PennyMordaunt Independence, not devolution.  Squandering of money by Scot Gov. Just take it off our bill to you for the oil and gas reserves which have been ""held in trust"" for Scotland.  Oil and gas/territorial rights were never part of the Treaty of Union. #ReclaimingScotland"
111,@wrestlinghollan @Qatari We cut gas and oil u will be homeless ok? U understand? so shut the fuckkup and stay in ur shelter or whatever shiitty place u live at. R u man enough to talk about white Americans cops killing u black nigga? https://t.co/pTSUd1AsS7
112,"Segway’s 40&amp;mile range Ninebot MAX G30P electric scooter falls $150 to $600 in New Green Deals: Are you tired of using gas and oil for your daily commute? Well, Segway’s Ninebot MAX G30P electric scooter is a great way to get back… https://t.co/OQ2NUmwNjO #technews #ev #tesla"
113,@MaxBoot He hasn’t done anything!! Depleting oil reserves is not a quality answer. So if you count buying from other countries and depleting reserves!! Yes congrats the gas prices are down for a min!!
114,"@CTVCalgary Sit down you globalist hack, we all know that you were selected to further destroy our oil and gas industry. Another 🐍 in the grass"
115,"@gvarner123 @FOX5Atlanta Is common sense not realizing that it's the oil and gas industries, as well as supply and demand that regulate gas prices? Is common sense not realizing that President Biden called on Congress to penalize these companies? Is common sense not realizing that the economy is strong?"
116,@Carol02124292 @eastofadelaide @Captaincoby00 Like what? Mandates were provincial. Where is the federal government interfering? Oil and gas? Unfortunately Alberta is landlocked and pipeline the UCP bought for a few billion is dead in the water. The Feds bought the Trans Mountain. Would Alberta like to buy it back?
117,"@CarignanAbreu @45Jbama @TentinQuaranti4 @DefSue3 @TidesEnd2021 @kylenabecker Look around you. Gas prices don’t lie. Wrecks the economy because EVERYTHING transported by Ship, plane, truck is oil dependent. EVERYTHING goes up. Do you not believe Joey Dementia’s own words? https://t.co/2aWIzCKy2t"
118,"@Future_Ozah @BashirAhmaad Yes

Where they are?

This is challenge for you in the next 10year the story will change the North will be able to place many investors since we have crude oil so you can start counting Guys. 

With upcoming Kaduna Refinery, Gas modular, Which will 309megawart of Electricity🤗"
119,"Just saw a thing on the news about gas prices in PA…… 👀

They’re still shitty prices as ever. Should’ve kept the damn pipeline open at this point and we wouldn’t have to worry about gas and oil being delivered from other countries"
120,Oil And Gas Firms Warn Of Complete Operational Collapse In North Sea https://t.co/GWxaPaeNGz via @ccdeditor
121,"The oil &amp; gas industry has been seeking to restrict supply and keep prices elevated... 

Not increase production, which would have created more jobs &amp; kept prices down. https://t.co/k0bVK9Cq2P"
122,"@stevieg61 @JustStop_Oil @metpoliceuk Absolute narcissist idiots , electric vehicles polite more than gas cars . From their build to end of existence . They are far more dangerous to climate . Have all electric cars in the world changes the free fall .00001%. The ONLY answer is nuclear power dough heads"
123,@merry123459 @AndrewLawton Interest rates ; housing market ; cost of living ; health care ; poor immigration policy ; more Canadians are going to the food bank than ever before. The only thing keeping Canada afloat for money coming in is Oil&amp;Gas. Canadians are struggling and hey let’s raise that carbon tax
124,"@JuanPabloBaena2 @Luislemon90 @emmmaadjeuuuuw @jlespert Fijate EEUU, cuando no fue proteccionista, por eso se mantuvieron durante décadas. Subsidiaron al Shale gas, shale oil, ahora los semiconductores. Y ponen impuestos a los Recursos estrategicos importados, El biodiesel que exporta Argentina por ejemplo...."
125,"@jameszad @RJSRickSmith @RachelNotley @theJagmeetSingh @JustinTrudeau @ABDanielleSmith Punching bag and a doormat. They want to kill oil and gas, but where do they think the welfare handouts for Quebec is going to come from."
126,"Drilling Fluids Technology has the capability to provide premium services in completion rental, down hole stimulation, or oil and gas chemicals to fit our customer’s needs! Contact us today to find out more! https://t.co/hexSOeXUCc"
127,@JessicaBanner13 @POTUS Hey genius Biden didn't cause global gas prices and Republicans voted against oil companies being investigated. https://t.co/1XHUH0tWmY
128,"This woman seems not to have heard of oil reserves and winter gas, which tend to lower pump prices https://t.co/mP4pDxSJIH"
129,@phillip_USA_ @POTUS Just one example: Republicans are for increasing the domestic supply of oil &amp; gas and reducing the price at the pump.   Democrats are opposed to that.    Would a lower price for gas 'help'?
130,"Cleanup like an oil spill
I'm down at the gas station all night
Trying to wash it off
Bathin' in the pale blue neon light"
131,"@Marie50982815 @RepGolden @POTUS Typical administration, don’t meet with the lobstermen, but eat it, complains on Gas and oil, but flies private jets, loves open borders, but don’t want them on their neighborhoods!
Hypocrisy at its finest, Ty democrats"
132,"@maxfawcett The problem isn’t just oil and gas, it’s Alberta is being chocked by the federal government ie. carbon tax, now banning hunting rifles, zero pipelines, oil and gas is never going away and Alberta produces the cleanest in the world"
133,"@Luislemon90 @emmmaadjeuuuuw @jlespert Ninguna potencia no es proteccionista, Fíjate EEUU, China o Los Británicos son el mejor ejemplo.
Subsidian la mayoría de recursos estratégicos, El shale Gas, shale Oil, o los semiconductores son Subsidiados por los gobiernos"
134,"@GoryahSurachart @HiL2V @nocontextfooty You forgot that there are Japan and China, we can compensate you with them my friend, while oil can only be replaced by donkeys, now I heard that you are begging for gas and oil while winter is coming, so let's see what your industries will benefit you haha 😂"
135,@DwaynePeters01 Do you blame Ottawa for the job losses in the US oil industry as well? Or do you attribute that to global markets and the increasing use of technology by oil and gas companies? https://t.co/ilJMwr3r4p
136,Why Africa signed up for eight new gas projects at COP27 https://t.co/NrJKqSEvuq
137,@KingBeevr @TalesTucson @LCDLAW1 You just won't accept that we didn't have to buy oil when Trump got us oil independent. I paid $1.87 a gal for gas under Trump. We were energy independent. In fact we were poised to become the biggest exporter of oil until Biden killed everything. You're naive or ignorant.
138,"@SenJohnKennedy @SenJohnKennedy, why aren't you addressing the record profits oil companies and gas suppliers are making? Seems like it's their fault, since Biden doesn't set the prices."
139,"@RachelNotley Do you not realize you were fired last time because of Trudeaus  policies toward oil and gas. Let me repeat that, you were fired when Trudeau abandoned you with his oil and gas policies"
140,@mzjacobson @howarth_cornell @joshfoxfilm @TXsharon @NOAA Yup.  Coal gas and oil are number one contributors to methane. https://t.co/wYHHnabmZ7
141,"IFS confirms Scotland’s deficit is falling as fast as the UK’s is rising due to oil and gas revenues that will bring in £15Bn next year and £20Bn the year after, then staying high through to 2028. What an incredible opportunity for Scotland. https://t.co/Q3HhrwFKSh https://t.co/MouULxetwo"
142,"only a quarter past 7 but... someone stepped on my shoe (it's the first time i wore it and it's pastel colored!!! tf), gas oil spilled on my bag, pen ink spilled on my white shirt and i almost missed a bus trip (malelate ako if i missed it). so... how's your friday going?"
143,"Corrosion Control in the Oil and Gas Industry V63IUTH

https://t.co/lMGYRVvhr2 https://t.co/42JPoIQNup"
144,Act now to support protecting Chaco from oil and gas drilling: https://t.co/SkmTWz8Gog | via @pewenvironment #ProtectChaco #NMPol
145,@JimJohannsson @GregMcLeanYYC This should be part of a Just Transition plan and gov’t needs to spend to win. “A just transition for Canada may require new policy instruments and new governance and accountability frameworks.” https://t.co/LFWXVl0bdX
146,"@GrnEyedGirl1970 Atlantic Canadian voters want a oil pipeline going into Saint John, NB from Alberta. Will bring lower gas prices. But Trudeau had other ideas. 🙁🇨🇦🦨"
147,@PGtwentytwo @Ilhan Really...because i know a person who was offered a few hundred dollars for the use of mineral rights land in cherokee county tx to look for and drill for oil &amp; gas?...land that has already produced on record...this person was told not to expect more than a few dollars per month?
148,"https://t.co/CzcTn8Q7uE
External Corrosion of
Oil and Natural Gas Pipelines"
149,REVEALED: 78% of woke ESG funds that Biden wants 401(k)s to invest in UNDERPERFORMED by 15% in first half of this year due to investments in failing tech firms and shunning of soaring oil and gas  https://t.co/lKuApJmoHq
150,"Motoforti 170cm 66 93"" 10mm Motorcycle Braided Brake Clutch Oil Hoses Line Pipe Clutch Throttle Gas Line Fuel Pipe Black for Z19IS76

https://t.co/ZP8JgGDqkt https://t.co/VbN7irDwj0"
151,"@RepAdrianSmith Our country is on track to produce more oil and gas in 2022 than at any other time in our country's history.

Stop allowing elected officials like Congressman Smith to gaslight you."
152,"@TheEconomist It doesn’t do the west any benefits and truly puts us one step behind.

We’re almost freezing because we don’t have the oil and gas from Russia.

I will encourage more exports."
153,"@SenJohnKennedy So regulate the oil companies? Demand they give a better price to America first? 

We already produce more than anyone in the world, but the free market encourages oil companies to export more than 30% of it. 

The US doesn’t OWN an Oil/gas company. That sounds like communism. 🤔"
154,@gipbhere @CupeAB Like this one for big Parma or the massive flubs done by killing oil/gas contracts done by Trudeau Government. NDP has  destroyed BC and jobs. Keep NDP as far away from governing Alberta again! Just my opinion 🤷‍♀️ https://t.co/sAcrU6AIJn
155,@RachelNotley Investment certainty??  Wow  meanwhile investors in oil and gas  were uncertain about about business in Alberta because of Trudeaus policies.
156,"We want to buy

Phenol 
#carbolic #acid 
99.5%

#cas 108-95-2

cfr karachi Pakistan
in #drums 

#phenol #carbolic #butylacrylate #vinylavetate #ethylene #benzene #propylene #glycol #glycols #acids #fahim #venus #venuscorporation #sodium #potassium #copper #iron #naptha #oil #gas"
157,"@jfiliatrault What's Alberta without oil &amp; gas, with crippled Ag sector, and few cattle?  Ottawa wants to take our guns away to win votes in Toronto and Ottawa.  You may have to bite the bullet."
158,@Xx17965797N @QuidoSarducci No green new deal company ever made a cent. Matter of fact they all went bankrupt starting with Obama's   Solyndra. We have oil right under our feet. Biden would rather destroy our country than drill for and export oil and natural gas
159,"@mackaracka Yep, so does PA where I used to live. TX prides itself on its oil/gas status. Methane blow off is a killer but TX doesn't care as long as oil/gas keep paying the people who run everything here."
